NOnub	chr2R
H3K27ac	H3K27me3	H3K9me3	Pc
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	5	0	0
1	7	5	7
1	2	7	3
0	0	0	0
0	1	0	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	2	0	2
17	2	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
2	4	0	0
0	2	0	2
2	0	0	2
0	0	0	1
14	22	0	13
17	37	0	16
1	4	0	1
6	3	0	1
2	1	0	6
6	10	0	5
8	10	2	5
10	18	5	22
7	15	26	7
1	10	7	6
3	2	2	3
9	5	27	15
4	1	12	10
0	0	1	1
1	0	0	0
0	1	0	3
1	5	3	4
8	4	11	13
3	8	9	3
3	6	7	7
0	0	0	0
0	0	0	0
0	3	0	3
15	26	0	18
30	46	0	38
20	27	10	21
21	12	0	12
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
3	7	0	9
9	19	0	15
2	6	0	8
2	0	0	4
0	0	0	0
0	0	0	0
0	0	0	0
2	0	0	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
8	14	2	6
5	12	36	19
11	11	16	13
22	21	2	23
8	21	0	29
14	28	0	10
2	7	0	1
0	2	0	1
1	0	0	1
2	2	0	2
7	12	0	5
1	1	0	8
11	37	0	19
4	39	0	28
11	25	0	32
3	2	0	1
2	2	0	0
5	0	0	2
9	12	0	8
2	6	0	4
15	21	0	3
15	13	0	10
9	8	0	16
11	21	0	14
5	19	0	16
11	12	8	22
8	14	2	3
8	9	0	1
13	9	0	8
10	26	3	6
9	23	13	15
2	3	0	2
4	10	0	4
0	3	0	1
0	0	0	3
4	3	0	0
4	2	0	2
0	0	0	0
0	2	0	0
9	21	0	9
32	44	0	27
1	7	0	2
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	0	1
10	16	18	10
4	27	33	10
3	2	2	2
10	12	57	8
1	3	3	0
0	0	0	1
0	0	0	0
1	2	0	0
6	6	6	1
14	15	12	13
1	3	0	1
0	0	0	1
0	0	1	0
4	10	0	0
6	11	1	6
6	20	0	4
4	17	2	4
8	5	2	5
0	1	0	1
0	0	0	0
2	0	0	2
0	0	0	0
