NOnub	chr4
H3K27ac	H3K27me3	H3K9me3	Pc
0	0	0	0
0	0	0	1
51	24	21	11
47	14	20	22
20	15	9	27
6	1	0	4
27	25	23	35
45	35	24	33
23	30	38	33
36	41	28	20
38	45	38	35
38	38	24	32
26	42	24	20
31	29	37	30
37	36	11	41
45	25	17	36
52	44	19	30
60	43	13	38
54	43	30	28
38	31	26	36
42	46	27	29
22	39	15	29
48	53	21	31
38	56	28	43
35	64	14	25
11	8	0	7
0	1	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
5	0	2	2
1	0	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	2	0
2	4	1	1
3	4	14	5
0	5	8	6
0	0	0	0
0	1	1	0
0	0	0	0
0	0	0	0
2	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	1
6	5	0	3
1	5	0	5
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	5	0
0	1	2	2
0	0	5	0
0	0	0	0
0	0	0	0
0	0	4	1
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	1	0	1
1	1	0	1
0	0	0	2
0	2	3	2
9	4	52	12
13	6	35	10
0	0	0	0
0	0	0	0
2	4	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	1
0	0	1	0
8	2	2	8
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	4	45	6
1	1	17	6
3	1	2	2
0	0	0	0
0	0	0	0
0	0	8	2
0	2	34	4
0	0	0	1
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	2
2	0	0	2
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	0
2	0	6	0
7	2	31	5
11	8	63	13
4	2	4	1
0	0	2	0
1	0	0	3
1	0	0	0
0	0	0	0
0	1	1	2
0	5	5	4
0	0	0	0
0	0	0	0
0	0	0	0
11	8	65	7
6	5	110	7
1	1	5	0
0	4	2	0
0	2	9	8
0	4	13	4
0	0	1	0
4	3	3	2
15	8	75	18
1	1	9	4
0	0	1	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	4
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	0
12	10	18	13
74	78	114	35
3	2	6	8
1	2	0	0
41	27	66	20
34	41	85	21
49	41	74	36
42	26	85	30
45	36	96	25
46	48	85	26
58	47	93	36
59	36	83	29
47	42	111	51
45	19	79	26
11	9	74	17
30	10	43	14
106	28	31	51
143	31	21	34
199	24	31	49
245	54	51	89
342	52	36	67
371	39	57	81
189	30	22	84
256	29	51	79
84	43	94	73
82	34	147	56
25	20	196	27
44	7	212	46
85	23	311	41
128	28	295	58
159	51	267	71
105	25	212	52
47	20	196	51
85	44	136	51
93	22	194	50
21	30	155	34
46	24	125	66
53	26	101	42
82	26	110	39
2	9	88	38
45	25	74	52
111	42	94	45
104	47	89	52
15	22	63	50
43	27	46	30
68	49	64	61
70	59	52	51
60	67	38	47
71	81	67	32
82	63	44	51
75	65	82	56
83	76	59	57
69	92	31	70
104	101	63	45
63	86	38	39
73	86	64	45
80	90	85	43
66	79	83	42
62	97	52	50
73	119	57	41
75	93	59	31
27	94	62	50
82	126	73	54
98	106	68	28
111	126	60	36
127	136	48	46
105	135	79	48
121	124	69	58
128	111	71	33
103	111	97	41
31	31	54	10
15	37	27	20
20	22	34	2
9	8	9	12
75	76	32	23
165	190	78	43
152	207	102	41
82	139	38	29
44	115	44	54
38	94	50	39
139	148	29	49
134	188	22	54
0	15	15	28
15	13	8	17
142	106	20	34
128	103	21	80
207	188	56	109
128	119	72	99
21	63	245	112
129	117	142	70
208	208	236	74
157	225	382	62
180	300	437	66
188	222	383	64
176	179	233	68
124	122	97	54
158	147	69	66
219	173	46	89
140	99	71	93
210	115	62	146
157	136	64	179
131	62	43	181
63	55	28	126
102	34	38	110
31	23	52	105
160	58	35	120
208	55	42	150
241	38	59	259
201	53	59	129
244	60	103	122
96	48	104	81
300	80	118	89
308	110	120	97
