NOnub	chrM
H3K27ac	H3K27me3	H3K9me3	Pc
94	565	190	4763
286	787	176	5870
83	459	158	5722
90	735	142	5383
39	438	173	5117
10	216	98	3679
164	479	171	4354
818	1715	376	7302
845	1778	281	7284
975	1950	407	8328
679	1364	285	7106
851	1745	340	6984
814	1894	283	7759
645	1330	300	7218
697	1375	354	7478
338	898	251	5978
236	764	219	6553
789	1504	393	7152
657	1321	315	7106
58	609	204	5629
389	1063	268	6221
175	864	305	7075
434	1054	345	7151
525	1356	380	7447
562	1464	380	7518
444	1033	238	5698
626	1454	352	7345
180	645	310	5590
121	586	264	5392
12	219	95	3918
334	925	245	5639
40	328	189	4420
27	297	211	4500
67	414	148	5041
370	967	315	6034
670	1322	308	6764
571	1245	272	6499
504	1262	431	6899
281	1018	288	6513
136	735	200	5488
83	527	232	5295
135	656	212	5372
498	1173	300	6346
623	1452	341	7402
284	767	285	6050
18	290	133	4175
6	29	119	3064
11	156	101	3476
21	98	116	3924
172	628	241	5725
134	527	152	4570
6	129	133	3585
237	715	185	5062
665	1660	391	6973
753	1556	339	7063
420	1227	266	7016
563	1348	340	6421
555	1191	211	5889
90	478	136	4448
67	506	171	4794
111	590	257	5801
172	687	262	5411
283	1038	335	6629
106	595	213	5369
441	1098	271	6532
53	231	174	4223
386	1042	272	5775
17	116	117	3172
2	72	79	2789
9	225	134	3526
163	526	205	4956
103	841	202	5790
181	771	190	5003
7	94	177	3069
7	152	82	1957
0	4	14	568
0	21	16	541
0	9	8	526
0	0	0	0
0	0	0	1
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	90
0	0	0	14
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	6
