NOnub	chrY
H3K27ac	H3K27me3	H3K9me3	Pc
57	103	278	50
5	10	2	2
2	4	4	2
0	1	2	0
0	0	0	0
2	2	0	4
3	2	4	4
1	2	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	3	4
0	0	13	6
0	0	9	0
0	0	16	6
0	0	4	3
0	0	2	10
0	0	11	5
0	0	4	8
0	0	6	0
0	0	3	1
0	0	6	3
0	0	1	0
0	0	0	1
0	0	1	1
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	0	0	0
0	0	0	0
0	0	0	0
10	2	14	12
0	0	4	0
0	0	0	0
0	0	3	2
0	0	3	4
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	1
4	2	3	3
4	2	1	4
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	2
4	0	0	2
2	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
9	1	4	14
17	11	4	5
0	0	0	0
0	0	0	0
4	6	6	5
13	14	14	15
8	18	11	2
10	13	14	4
16	19	13	5
10	18	15	7
11	26	17	9
12	21	7	9
7	7	7	6
3	15	4	10
16	26	25	9
12	13	19	6
17	19	4	12
9	12	5	9
11	8	10	3
11	5	3	7
22	18	5	10
11	21	14	5
13	14	16	4
14	17	6	7
23	25	6	9
9	17	23	11
13	17	4	12
12	24	8	3
16	20	28	12
12	30	5	16
13	13	6	13
15	21	1	8
12	9	12	13
9	10	5	13
4	19	0	12
12	13	19	14
8	22	4	15
