State (Emission order)	H3K27ac	H3K9me3	Pc	H3K27me3
1	0.007944623309899094	0.012392313041251761	0.0019931093185020796	8.656373218699526E-4
2	0.5066810923827307	0.8795662438141845	0.07418970146070795	0.1625384773133339
3	0.0028744643166516265	0.6266285888893492	0.0031028364262707876	0.0035746357935600268
4	0.12427967793277594	0.9578208347119647	0.5290741787076048	1.0
5	0.0027972574004822785	0.8099387987437523	0.0354530505792084	0.9994354987699107
6	0.012806167023069841	0.17602427542681598	0.009673693557197932	0.9297764025689812
7	0.01701417633058722	0.03157290649275688	0.008107018706410259	0.1509067290984197
8	0.01921095818427202	0.033461709032568704	0.3357422571226222	0.8219119631812848
9	0.6862931235812623	0.38201008803075903	0.08112426795549689	0.8767539300101097
10	0.7294257938059102	0.036907789791795424	0.019286650950333876	0.0018848324993050547
