WD	chr3R
H3K27ac	H3K27me3	H3K9me3	Pc
0	0	0	0
0	0	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	1	2	0
6	10	39	0
0	1	5	0
0	1	0	0
0	1	0	0
2	0	2	0
0	4	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	0
1	2	1	0
3	2	7	0
2	2	4	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
2	0	2	0
0	2	3	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	0	2	0
0	0	0	0
14	4	43	5
10	24	61	1
0	0	3	0
9	18	35	0
10	7	41	2
1	1	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	0
0	0	0	0
0	0	0	0
0	0	3	0
6	4	29	0
0	1	2	0
0	1	0	0
0	0	0	0
8	8	26	0
0	0	0	0
0	0	0	0
0	0	0	0
4	8	6	0
0	0	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	0
1	0	2	0
2	6	14	0
0	2	10	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	0
1	2	20	0
1	0	10	0
0	2	0	0
0	0	4	0
0	0	1	0
0	0	9	0
0	6	12	0
0	0	0	0
0	1	1	0
6	6	21	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	4	10	0
0	0	2	0
2	0	0	0
0	0	0	0
0	0	0	0
2	0	2	0
1	1	2	0
1	3	4	0
0	3	2	0
4	7	10	0
0	0	8	0
0	0	0	0
8	7	20	0
26	55	120	6
0	0	3	0
0	2	6	0
0	0	1	0
9	12	35	2
5	4	2	0
0	0	1	0
0	0	0	0
0	2	0	0
0	0	0	0
0	2	0	0
0	2	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	5	0
2	2	5	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
0	2	4	0
0	0	0	0
0	2	0	0
0	0	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	8	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	0	1	0
0	0	1	0
0	0	0	0
0	0	0	0
0	4	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	1	0
0	2	0	0
11	35	71	0
2	5	29	0
1	0	1	0
1	0	12	0
5	2	13	0
0	0	2	0
4	6	22	0
1	5	11	0
6	7	21	0
1	0	0	0
0	0	0	0
1	2	3	2
7	10	13	0
4	12	24	0
0	0	2	0
1	4	4	0
1	0	2	0
0	5	11	0
0	1	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
