WD	chr4
H3K27ac	H3K27me3	H3K9me3	Pc
0	0	0	0
0	0	3	1
51	24	85	7
47	14	63	4
20	15	28	1
6	1	9	1
27	25	103	8
45	35	64	4
23	30	51	1
36	41	120	8
38	45	128	6
38	38	122	8
26	42	118	8
31	29	99	6
37	36	105	7
45	25	132	7
52	44	140	2
60	43	125	2
54	43	133	11
38	31	101	5
42	46	74	3
22	39	53	4
48	53	158	13
38	56	98	2
35	64	70	9
11	8	14	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
5	0	2	0
1	0	0	0
0	0	0	0
0	0	6	0
0	0	0	0
0	0	0	0
1	0	0	0
2	4	2	0
3	4	13	0
0	5	5	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
2	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	2
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	1
6	5	13	0
1	5	5	3
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	1	5	0
1	1	5	0
0	0	2	1
0	2	4	2
9	4	34	2
13	6	34	1
0	0	0	0
0	0	3	0
2	4	9	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	1
0	0	1	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
8	2	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	2	0
0	0	1	0
0	4	4	2
1	1	2	1
3	1	6	1
0	0	2	0
0	0	1	0
0	0	2	0
0	2	7	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	4	0
2	0	4	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	1	0
2	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	0	3	0
7	2	18	1
11	8	30	1
4	2	3	2
0	0	0	0
1	0	0	0
1	0	0	0
0	0	0	0
0	1	0	0
0	5	3	0
0	0	1	0
0	0	0	0
0	0	0	0
11	8	34	1
6	5	39	3
1	1	1	0
0	4	6	0
0	2	3	2
0	4	7	0
0	0	0	0
4	3	2	0
15	8	44	2
1	1	2	2
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	1	0
12	10	26	2
74	78	209	15
3	2	8	4
1	2	5	2
41	27	70	0
34	41	119	10
49	41	124	6
42	26	121	5
45	36	130	8
46	48	97	4
58	47	97	4
59	36	129	4
47	42	108	14
45	19	49	7
11	9	16	7
30	10	23	6
106	28	61	1
143	31	93	3
199	24	62	6
245	54	104	7
342	52	120	7
371	39	91	4
189	30	45	11
256	29	95	11
84	43	98	13
82	34	127	22
25	20	46	5
44	7	79	3
85	23	95	8
128	28	177	13
159	51	201	7
105	25	91	7
47	20	66	1
85	44	92	9
93	22	81	5
21	30	37	5
46	24	58	7
53	26	91	5
82	26	98	7
2	9	27	5
45	25	44	9
111	42	90	14
104	47	109	21
15	22	46	12
43	27	68	7
68	49	108	6
70	59	120	8
60	67	138	9
71	81	155	6
82	63	119	5
75	65	116	11
83	76	112	6
69	92	152	12
104	101	175	14
63	86	188	10
73	86	145	12
80	90	151	5
66	79	90	10
62	97	123	6
73	119	120	9
75	93	128	11
27	94	120	8
82	126	133	6
98	106	101	9
111	126	173	6
127	136	181	7
105	135	122	10
121	124	77	11
128	111	141	9
103	111	140	7
31	31	36	6
15	37	13	0
20	22	9	0
9	8	4	0
75	76	58	1
165	190	134	10
152	207	142	13
82	139	92	10
44	115	56	9
38	94	48	3
139	148	101	6
134	188	74	6
0	15	9	0
15	13	8	2
142	106	74	8
128	103	63	10
207	188	176	6
128	119	166	16
21	63	44	10
129	117	110	4
208	208	146	7
157	225	174	12
180	300	214	15
188	222	120	17
176	179	110	5
124	122	60	6
158	147	47	10
219	173	77	3
140	99	90	12
210	115	109	14
157	136	160	15
131	62	92	14
63	55	44	10
102	34	38	9
31	23	36	8
160	58	96	5
208	55	69	20
241	38	78	41
201	53	75	16
244	60	95	7
96	48	51	11
300	80	129	19
308	110	165	10
219	76	136	6
175	68	132	4
155	57	61	9
43	32	44	5
126	65	81	7
162	85	147	7
130	43	91	3
123	39	88	7
188	42	129	8
70	19	49	1
85	28	48	5
48	8	66	4
44	23	39	6
77	22	127	11
157	38	119	7
111	19	127	8
81	32	97	13
127	34	130	8
120	37	85	12
42	33	54	9
40	12	28	3
73	27	35	6
194	32	99	14
173	37	114	5
216	38	81	8
320	60	119	8
245	49	122	12
306	56	156	14
62	40	134	12
104	38	181	10
34	24	94	6
43	22	104	10
29	16	69	15
61	28	121	16
86	23	125	14
101	55	169	4
196	54	117	11
246	45	106	19
147	40	83	12
224	80	116	18
147	41	80	3
241	55	88	4
335	58	100	6
177	56	80	9
238	52	121	12
108	37	67	8
108	11	45	5
103	22	44	4
123	42	53	4
33	14	24	4
81	11	43	11
122	37	75	1
55	29	53	2
100	20	51	11
114	26	48	11
111	43	46	9
182	25	47	6
133	37	69	8
193	43	68	1
110	15	25	8
214	24	55	4
174	23	51	2
111	26	50	9
153	45	72	4
94	37	47	6
137	37	61	14
85	47	72	6
107	36	71	3
58	29	51	3
76	24	97	7
118	31	108	3
88	32	82	8
74	34	37	3
84	39	64	3
78	13	62	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
6	3	4	0
84	33	47	5
39	13	40	1
92	33	46	3
86	41	67	12
59	27	37	5
56	46	57	1
74	34	104	6
40	24	68	3
0	0	0	0
0	0	0	0
48	32	75	8
44	33	49	5
49	27	48	6
65	38	110	12
79	51	145	2
83	47	183	3
65	63	156	8
48	41	94	6
37	38	119	2
43	30	125	4
49	31	112	7
29	17	75	11
1	2	5	0
41	12	70	5
43	34	190	6
23	20	141	4
27	26	93	3
52	31	130	2
30	17	75	4
37	24	128	10
42	21	91	2
27	25	76	5
4	7	25	1
0	3	5	0
17	10	62	4
78	18	113	4
29	38	77	0
24	15	23	2
12	19	16	1
60	16	38	2
56	16	35	5
45	27	56	9
42	13	36	4
32	27	34	7
32	16	31	0
6	11	27	5
45	30	92	9
49	32	97	9
52	36	65	8
39	37	66	4
48	55	105	6
73	41	99	6
43	38	103	7
54	44	107	5
41	55	115	1
65	57	122	8
35	27	80	9
15	12	45	5
36	22	95	7
51	37	110	6
47	36	87	7
45	22	50	10
46	23	75	9
26	19	63	7
69	24	101	13
35	34	72	3
46	29	44	8
38	26	44	6
19	20	32	2
9	10	26	1
48	27	78	5
44	25	61	7
69	26	80	9
50	43	69	8
75	34	94	9
65	25	64	7
42	30	56	5
50	36	61	5
61	40	95	6
46	32	93	4
5	12	20	4
0	0	0	0
0	0	0	0
22	12	19	2
34	22	77	2
54	27	84	8
37	23	51	8
30	19	52	9
42	40	69	7
43	13	58	7
43	31	49	5
53	19	67	6
54	27	73	3
2	10	32	11
25	31	86	3
46	37	119	10
38	39	86	5
46	49	94	1
61	45	119	5
60	36	107	13
31	16	54	7
30	17	56	2
36	31	52	0
31	17	54	7
51	19	68	3
37	26	39	7
49	28	63	4
52	28	89	5
41	17	83	4
12	27	46	0
30	33	91	5
61	38	111	10
38	39	83	5
27	19	26	3
26	15	64	8
33	20	39	17
35	28	59	2
31	32	79	7
14	18	35	4
42	32	83	4
61	27	70	9
28	14	62	2
26	18	37	5
16	19	33	6
26	33	80	7
71	45	145	7
23	24	71	8
34	38	164	2
43	31	144	9
31	55	128	6
57	42	145	8
56	52	179	9
54	30	154	3
46	47	150	3
31	41	80	6
20	46	87	6
38	32	118	6
51	27	105	11
13	13	62	3
29	17	94	3
59	26	103	6
43	33	109	4
42	30	106	6
30	19	55	4
15	14	55	3
13	19	37	11
48	30	127	7
34	22	64	5
37	26	66	10
54	21	135	4
12	12	31	4
37	21	68	3
48	19	40	6
58	20	64	8
32	21	31	2
120	42	87	7
78	27	62	2
23	11	44	4
48	24	60	6
59	35	109	1
99	32	116	10
76	30	100	4
67	30	86	7
66	32	178	14
20	11	46	2
1	5	6	0
11	16	50	9
4	4	23	0
27	30	104	6
37	38	112	7
51	45	124	11
50	30	131	7
30	27	89	8
34	28	83	9
37	36	210	9
51	46	218	6
34	37	147	10
35	33	173	16
31	46	250	10
36	31	243	8
38	47	255	7
36	57	176	6
42	46	200	10
37	43	153	7
