WD	chrM
H3K27ac	H3K27me3	H3K9me3	Pc
94	565	424	303
286	787	540	429
83	459	433	373
90	735	483	354
39	438	270	337
10	216	150	161
164	479	305	274
818	1715	1362	679
845	1778	1456	634
975	1950	1660	659
679	1364	901	604
851	1745	1310	642
814	1894	1423	708
645	1330	958	600
697	1375	1088	596
338	898	807	478
236	764	614	487
789	1504	1260	586
657	1321	876	605
58	609	490	439
389	1063	624	501
175	864	498	531
434	1054	744	555
525	1356	950	576
562	1464	1190	655
444	1033	611	486
626	1454	1046	647
180	645	574	425
121	586	338	406
12	219	215	258
334	925	781	470
40	328	287	266
27	297	193	261
67	414	279	321
370	967	583	549
670	1322	1066	585
571	1245	761	548
504	1262	1059	554
281	1018	717	588
136	735	443	352
83	527	261	399
135	656	356	346
498	1173	669	503
623	1452	1162	555
284	767	527	488
18	290	206	236
6	29	74	129
11	156	160	153
21	98	151	200
172	628	336	315
134	527	316	354
6	129	154	208
237	715	614	410
665	1660	1284	615
753	1556	1297	570
420	1227	695	607
563	1348	1101	499
555	1191	994	562
90	478	344	323
67	506	267	341
111	590	315	409
172	687	386	503
283	1038	655	477
106	595	425	360
441	1098	979	468
53	231	230	287
386	1042	809	415
17	116	116	126
2	72	84	112
9	225	155	183
163	526	381	289
103	841	602	400
181	771	592	364
7	94	138	140
7	152	92	86
0	4	9	6
0	21	11	18
0	9	4	2
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	4	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
