WD	chrY
H3K27ac	H3K27me3	H3K9me3	Pc
57	103	339	16
5	10	31	0
2	4	6	4
0	1	3	0
0	0	1	0
2	2	8	0
3	2	11	1
1	2	7	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	0	0	0
0	0	2	0
0	0	0	0
10	2	24	0
0	0	0	0
0	0	1	0
0	0	1	0
0	0	0	0
0	0	1	0
0	0	1	0
0	0	0	0
0	0	4	0
0	0	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	0
0	0	2	0
0	0	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4	2	1	0
4	2	3	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4	0	0	0
2	0	0	0
0	0	1	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	1	0
9	1	35	0
17	11	62	0
0	0	0	0
0	0	0	0
4	6	41	0
13	14	72	4
8	18	71	0
10	13	62	1
16	19	70	5
10	18	68	1
11	26	64	2
12	21	79	1
7	7	74	7
3	15	69	5
16	26	84	4
12	13	86	1
17	19	62	2
9	12	62	4
11	8	52	3
11	5	35	4
22	18	86	7
11	21	86	1
13	14	80	3
14	17	64	1
23	25	74	2
9	17	98	0
13	17	103	2
12	24	71	0
16	20	87	0
12	30	86	4
13	13	60	0
15	21	50	4
12	9	71	4
9	10	68	0
4	19	49	0
12	13	74	0
8	22	44	4
12	5	63	4
7	7	40	2
1	1	5	0
1	3	3	0
5	13	48	4
7	3	18	0
15	15	39	0
12	6	26	1
4	9	31	1
0	3	1	0
4	8	20	1
6	15	39	1
4	7	25	0
8	16	43	5
11	9	79	3
12	7	104	1
15	30	86	3
13	12	67	1
7	20	77	2
10	22	72	2
9	10	75	3
13	9	71	0
7	17	55	5
12	15	76	7
14	19	67	2
12	21	89	4
7	9	22	0
0	4	42	2
5	16	38	2
9	10	41	0
8	11	53	4
5	21	53	0
7	7	75	2
10	13	51	0
10	10	44	0
7	15	17	0
5	15	14	0
2	3	27	0
0	0	0	0
5	2	22	2
1	2	4	0
0	0	0	0
0	0	0	0
0	0	2	0
1	0	2	0
1	0	10	0
0	0	0	0
0	0	0	0
0	2	6	0
0	0	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	4	1
8	10	35	9
2	1	14	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	11	0
0	2	3	0
0	0	0	0
0	0	2	0
4	7	10	0
12	12	44	0
15	14	53	4
9	9	29	0
12	12	17	2
6	13	33	0
6	6	15	1
7	9	32	1
13	4	26	1
2	0	1	1
0	3	9	0
6	5	11	2
0	0	2	0
2	11	26	0
0	1	2	0
4	0	0	0
0	0	1	0
10	13	42	0
2	1	8	2
3	0	3	0
1	2	2	0
0	0	0	0
0	0	2	0
2	0	0	3
0	1	6	0
14	5	51	1
2	0	5	0
0	0	0	0
2	5	16	2
0	2	12	2
1	0	0	0
3	4	26	0
4	7	6	0
0	0	1	0
8	14	16	1
6	7	31	3
5	6	17	1
5	5	16	3
4	2	5	0
0	2	12	0
0	0	0	1
6	5	9	0
7	12	16	3
4	2	4	1
12	7	40	2
21	26	93	1
18	17	21	4
4	7	1	0
4	10	40	4
2	3	12	1
2	2	4	0
4	5	34	3
0	0	2	0
0	0	0	0
0	3	5	1
10	15	79	3
7	3	23	0
3	1	9	0
0	0	0	0
0	0	1	0
0	6	11	0
0	0	0	1
2	5	5	2
10	18	48	1
2	3	1	1
0	1	3	0
4	2	18	1
5	5	7	4
9	17	51	0
25	21	45	3
11	2	6	1
2	0	4	0
3	0	1	0
0	0	3	0
3	2	2	0
4	0	6	0
2	2	9	1
12	12	37	1
0	0	2	0
0	0	3	0
2	4	10	0
4	2	8	2
2	1	7	4
8	5	9	0
2	7	12	0
2	7	17	1
4	6	8	1
4	6	10	0
6	5	14	0
5	4	13	0
1	7	13	0
0	3	6	0
6	12	43	2
2	3	29	0
0	0	0	0
0	2	4	0
1	1	7	0
10	5	8	0
5	10	37	2
11	29	42	0
15	15	37	2
11	20	56	2
17	15	66	6
15	10	53	4
6	4	21	0
15	13	53	4
2	0	6	1
16	17	21	1
11	13	22	4
12	11	35	0
21	13	43	4
14	14	31	8
9	5	34	1
6	13	39	3
1	4	15	3
4	9	24	0
