#Sample                                 	Total_fragments		Mapped		Filtered	Unique
cnr_H3K27ac_WD_NOnub_Rep1_all_dm6_NA 		19974123		14790838	23978456	20076600
cnr_H3K27ac_WD_NOnub_Rep2_all_dm6_NA 		21902571		11958803	19910532	12744524
cnr_H3K27ac_WD_SUMOnub_Rep1_all_dm6_NA 		23852132		14130002	22781610	18927360
cnr_H3K27ac_WD_SUMOnub_Rep2_all_dm6_NA 		19909243		15182788	23972816	22135708
cnr_H3K27me3_WD_NOnub_Rep1_all_dm6_NA 		26094067		7956081		13378132	7601850
cnr_H3K27me3_WD_NOnub_Rep2_all_dm6_NA 		21834167		12700934	20037800	15309286
cnr_H3K27me3_WD_NOnub_Rep3_all_dm6_NA 		11809984		9755046		17102990	12657700
cnr_H3K27me3_WD_SUMOnub_Rep1_all_dm6_NA 	12546615		9246855		14469356	12262932
cnr_H3K27me3_WD_SUMOnub_Rep2_all_dm6_NA 	13666536		10515032	16520576	14939460
cnr_H3K9me3_WD_NOnub_Rep1_all_dm6_NA 		23779759		19739577	26426676	24669744
cnr_H3K9me3_WD_NOnub_Rep2_all_dm6_NA 		20920103		17144024	22161144	20516698
cnr_H3K9me3_WD_SUMOnub_Rep1_all_dm6_NA 		20864035		15570829	20663808	17493164
cnr_H3K9me3_WD_SUMOnub_Rep2_all_dm6_NA 		23053027		15809765	21147468	16087590
cnr_IgG_WD_NOnub_Rep1_all_dm6_NA 		17481089		8560489		12990784	7687236
cnr_IgG_WD_NOnub_Rep2_all_dm6_NA 		19449087		9691480		14789024	8486980
cnr_Pcxlinked_WD_NOnub_Rep1_all_dm6_NALF 	9582929			5142199		7929376		4997704
cnr_Pcxlinked_WD_NOnub_Rep2_all_dm6_NALF 	10080262		5200407		8037456		5224154
cnr_PcXlinked_WD_NOnub_Rep2_all_dm6_NALF2 	17603015		11068775	16935426	11900026
cnr_Pcxlinked_WD_SUMOnub_Rep1_all_dm6_NALF 	9193507			6033698		8633984		5565456
cnr_PcXlinked_WD_SUMOnub_Rep1_all_dm6_NALF2 	21220959		14114059	20859326	11480774
cnr_PcXlinked_WD_SUMOnub_Rep2_all_dm6_NALF2 	13480499		9050807		13448862	8023324
