GENEID	log2BaseMean	log2Ratio	Stderr_log2Ratio	pvalue	padjust
FBgn0259683	11.8616603372956	9.50451882672636	0.289952397125469	1.15075967281386e-235	1.20783735258543e-231
FBgn0032956	13.3835499880394	2.76463038112929	0.0949112159430898	1.55988760061308e-186	8.18629012801745e-183
FBgn0262620	10.1472997813625	4.11082414073863	0.144111817779739	5.69892068371263e-179	1.99386238320826e-175
FBgn0035880	10.9696113824881	4.14241735281513	0.151581902651371	1.97674431954431e-164	5.18697709448428e-161
FBgn0268063	11.2006948941107	-3.77513159002199	0.138736865704727	4.84849942839061e-163	1.01779700000776e-159
FBgn0025814	10.6006898623683	-1.77496501176781	0.0686797876251824	2.83701673013046e-147	4.96288793324155e-144
FBgn0035770	9.27708888732639	5.87383038317827	0.249109468686655	6.28389663338842e-123	9.42225415200641e-120
FBgn0003996	12.7284355051791	10.1937275626681	0.443295192121885	5.18856494951798e-117	6.80739721376758e-114
FBgn0052373	9.94474279349287	-1.96571563175621	0.086101318589122	2.29578417144582e-115	2.67739451816615e-112
FBgn0261429	10.2847540379993	6.13651854035845	0.303943570693966	1.20682557347896e-90	1.26668412192351e-87
FBgn0028400	11.2358611395674	-1.39865441658864	0.0720644259364207	6.55501625476471e-84	6.25467732818277e-81
FBgn0031623	9.57114521364821	5.75229366331967	0.298482844078112	9.2704774362858e-83	8.10857759760465e-80
FBgn0024491	11.367621920106	1.82686084834754	0.0971485676320934	6.89623090674216e-79	5.56791073824352e-76
FBgn0052581	8.15345444075925	-5.01317879469726	0.267537030888775	2.41387164515947e-78	1.8097140562567e-75
FBgn0039844	13.0891521310896	-0.797861401893087	0.0459553665586247	1.61003206140885e-67	1.12659310110315e-64
FBgn0035865	8.07717713240697	-4.90687819369569	0.286045566918727	5.84861024900499e-66	3.83668832334728e-63
FBgn0038344	11.6523179792152	0.891311386828183	0.0532142388614602	5.71133531747441e-63	3.52624561718891e-60
FBgn0037533	13.2177673544796	-0.676450859184201	0.0421948724342904	7.68910078995252e-58	4.48360010507454e-55
FBgn0262532	8.79160603998504	7.3825948063597	0.461410886638588	1.2768340371762e-57	7.05350002852706e-55
FBgn0031643	11.6960403020905	1.46258731055788	0.092190753925745	1.1108153176148e-56	5.82955878684249e-54
FBgn0004034	12.2255523928538	10.5775468165961	0.668772156467487	2.39939148718156e-56	1.19923871664084e-53
FBgn0039972	8.47487937364619	3.01728472171569	0.191303222056817	4.82881653556926e-56	2.11180243155562e-53
FBgn0035956	8.92865703747498	-1.86190188990128	0.118030886641797	4.64596459896471e-56	2.11180243155562e-53
FBgn0030608	12.8735989066444	-1.79400947050633	0.113723841454146	4.61377170921806e-56	2.11180243155562e-53
FBgn0040837	8.97721481920865	8.40182132218517	0.537006333576917	3.55633428684787e-55	1.49309138699021e-52
FBgn0036690	9.58621624978952	9.01208358444621	0.578676199942957	1.10000482445208e-54	4.44063486055731e-52
FBgn0039644	9.75405275752876	1.86295971436583	0.122009269866996	1.23042847834661e-52	4.78317678100965e-50
FBgn0028789	9.47639753217418	-1.74713738260878	0.114508734559005	1.46365039130993e-52	5.4865980382818e-50
FBgn0004394	10.6045005752998	-2.59908104575873	0.174774064620088	5.07789260470474e-50	1.83784692341314e-47
FBgn0004101	10.9342335805677	-1.51358719931687	0.104809695139216	2.84467751060975e-47	9.95257838378666e-45
FBgn0039101	7.40300701972523	3.88422075094899	0.270329638464064	8.16254870567953e-47	2.76368100692943e-44
FBgn0265047	7.74729825667113	3.12546649903293	0.218711194795784	2.51227962614802e-46	8.24027717376551e-44
FBgn0033926	14.7864769138057	6.9724088418663	0.490216267234179	6.58425556317014e-46	2.09419231487981e-43
FBgn0033395	10.8784591099034	11.8925147372358	0.840692237797886	1.97411307852316e-45	6.09420319769973e-43
FBgn0052702	10.0863526802174	1.63034154540931	0.116969358337291	3.71217774342436e-44	1.11322907414235e-41
FBgn0037099	9.27853970315131	-2.02314074925576	0.146998945659269	4.2572703084343e-43	1.24123080992573e-40
FBgn0051092	12.1775561552455	-0.923242862764382	0.0685123885909667	2.17823799854621e-41	6.01652264019501e-39
FBgn0053508	9.35052125083428	9.94855612672614	0.738245120855729	2.16671249140721e-41	6.01652264019501e-39
FBgn0266046	9.6454151910535	-2.17599363656789	0.162170844857804	4.74925207967034e-41	1.27815768790307e-38
FBgn0000394	9.75687616013742	-1.27059842550168	0.0961231218745394	6.86667700840026e-40	1.80181604700423e-37
FBgn0033154	7.90192805062511	5.3361644766815	0.409066161370853	6.80828504522727e-39	1.74292097157818e-36
FBgn0010041	8.51178348823191	7.39981102897356	0.5723241211149	3.07182177115619e-38	7.67662888334652e-36
FBgn0029766	11.9052857993793	2.62863207831781	0.205179614425448	1.41610933116202e-37	3.45662407904105e-35
FBgn0032879	7.17459110580194	2.92250542517216	0.230233029353304	6.4097950622383e-37	1.52902747666484e-34
FBgn0005660	8.74971582337884	5.09738592416779	0.401770510268644	6.95355544385641e-37	1.62187817641593e-34
FBgn0054057	7.55388718021816	3.01770171948958	0.238996775851634	1.50767912456746e-36	3.44013045466523e-34
FBgn0033928	8.6438354195033	3.71918816609788	0.294739725884441	1.66863984338527e-36	3.72639229705783e-34
FBgn0011676	7.3076470364153	4.76829123508322	0.38074255804954	5.54177969703632e-36	1.21180249375194e-33
FBgn0039727	11.6584257661998	0.954373916378166	0.076429978124165	8.80106649960606e-36	1.88522436693602e-33
FBgn0029969	11.1778667310845	-1.26732943404191	0.10187781390411	1.59100491336276e-35	3.3398375141311e-33
FBgn0050069	13.7240337841097	-0.918181452916485	0.0749359683342988	1.62133384766862e-34	3.33676864022154e-32
FBgn0003082	9.86525208383593	1.56370800306927	0.127904650880646	2.26967768273201e-34	4.58125710729908e-32
FBgn0032089	7.81026233183856	5.74239093123378	0.476747658083674	2.06257916433475e-33	4.08468507714293e-31
FBgn0034837	7.58319191248338	3.44083298196875	0.286461603818765	3.09192928943582e-33	6.00979441146637e-31
FBgn0032456	12.8485690984904	1.08208954144408	0.0908328812485594	1.01301439525132e-32	1.93319983501052e-30
FBgn0038071	11.4731179441724	-0.899856027009898	0.0757322543005703	1.46687303382282e-32	2.74933917196506e-30
FBgn0266849	7.05317292854999	-3.09805869095164	0.262502346576962	3.81040012755734e-32	7.01648416470909e-30
FBgn0001319	9.35078172388131	-2.08792292740222	0.177834604460526	7.87255120024002e-32	1.42466029996068e-29
FBgn0000179	11.7880409520617	-0.68454240292463	0.0588478087434915	2.81989426863814e-31	5.01654410908914e-29
FBgn0011274	9.43919051399262	2.24225085546735	0.19350744996675	4.77329220477804e-31	8.35007916355838e-29
FBgn0036186	7.72811751618868	2.37987943432662	0.210517730224473	1.24111933913392e-29	2.13553911205731e-27
FBgn0042106	7.03795217274404	4.52862641754621	0.402274957444086	2.12611048683824e-29	3.59929930158938e-27
FBgn0266681	7.45784867784305	2.72460919005574	0.242055807090332	2.16063892658415e-29	3.59969304340116e-27
FBgn0030263	10.8314257857669	0.665472480275923	0.0591841454551758	2.47607754093983e-29	4.06076716714132e-27
FBgn0000577	10.9996332612257	-0.772549739511737	0.0693694022150499	8.30959835569472e-29	1.34180837448264e-26
FBgn0035439	7.30475735774312	3.19760488327016	0.287700278086306	1.06812009610844e-28	1.69863462556881e-26
FBgn0001250	11.201270539912	-1.28726234885826	0.116406071753581	1.9967557177533e-28	3.1280519423192e-26
FBgn0035359	6.32180621804817	4.26384501495331	0.391664581472073	1.33722394646491e-27	2.06404449148465e-25
FBgn0262139	10.3743839810054	-1.58030797138434	0.145918410229717	2.47940185386066e-27	3.77156548668427e-25
FBgn0287620	8.41549170926343	9.42762976145959	0.871621376183992	2.8849706011405e-27	4.32580734708153e-25
FBgn0053509	8.28197723697717	9.29409736839231	0.860812943551538	3.56083991745494e-27	5.26402475684606e-25
FBgn0000119	13.338203403317	-0.561719565999816	0.0523110558995556	6.7442434551827e-27	9.83160823688856e-25
FBgn0266572	11.4783691641592	-0.679696801424919	0.0637357859127112	1.4953936323447e-26	2.15008925549178e-24
FBgn0036007	12.2917139478801	-1.67253637033259	0.15743720419998	2.31671930048355e-26	3.28598456457775e-24
