FBgn0287775 18w
FBgn0029514 312
FBgn0000003 7SLRNA:CR32864
FBgn0261504 7SLRNA:CR42652
FBgn0000014 abd-A
FBgn0000015 Abd-B
FBgn0000022 ac
FBgn0015586 Acp76A
FBgn0000044 Act57B
FBgn0024913 Actbeta
FBgn0015011 AhcyL2
FBgn0025595 AkhR
FBgn0000061 al
FBgn0000071 Ama
FBgn0086782 amn
FBgn0011746 ana
FBgn0260642 Antp
FBgn0004569 aos
FBgn0267408 AOX1
FBgn0038348 AOX2
FBgn0267978 ap
FBgn0040281 Aplip1
FBgn0015903 apt
FBgn0015904 ara
FBgn0037551 Arl8
FBgn0000121 Arr2
FBgn0038189 Art6
FBgn0038188 Art9
FBgn0000137 ase
FBgn0002069 AspRS
FBgn0263589 asRNA:CR43614
FBgn0264788 asRNA:CR44018
FBgn0264872 asRNA:CR44063
FBgn0266630 asRNA:CR45137
FBgn0266634 asRNA:CR45141
FBgn0266699 asRNA:CR45189
FBgn0267109 asRNA:CR45549
FBgn0267586 asRNA:CR45924
FBgn0010433 ato
FBgn0013751 Awh
FBgn0011758 B-H1
FBgn0004854 B-H2
FBgn0025525 bab2
FBgn0004862 bap
FBgn0039071 bb8
FBgn0087007 bbg
FBgn0000166 bcd
FBgn0047334 BG642312
FBgn0000179 bi
FBgn0039282 Bili
FBgn0045759 bin
FBgn0259246 brp
FBgn0004101 bs
FBgn0000233 btd
FBgn0031150 bves
FBgn0265598 Bx
FBgn0011723 byn
FBgn0004863 C15
FBgn0000251 cad
FBgn0015919 caup
FBgn0004778 Ccp84Af
FBgn0004777 Ccp84Ag
FBgn0033970 CG10205
FBgn0036356 CG10222
FBgn0035695 CG10226
FBgn0032707 CG10348
FBgn0035453 CG10357
FBgn0033168 CG11145
FBgn0039798 CG11313
FBgn0031849 CG11327
FBgn0029715 CG11444
FBgn0039671 CG11470
FBgn0032965 CG11629
FBgn0032964 CG11630
FBgn0032968 CG11634
FBgn0037563 CG11672
FBgn0039274 CG11920
FBgn0035257 CG12011
FBgn0025387 CG12184
FBgn0033774 CG12374
FBgn0029707 CG12688
FBgn0033252 CG12769
FBgn0030868 CG12986
FBgn0037014 CG13251
FBgn0035921 CG13305
FBgn0033787 CG13321
FBgn0033788 CG13323
FBgn0025633 CG13366
FBgn0030151 CG1354
FBgn0035000 CG13578
FBgn0031270 CG13689
FBgn0035138 CG13884
FBgn0035139 CG13891
FBgn0035186 CG13912
FBgn0035256 CG13930
FBgn0035258 CG13931
FBgn0031763 CG13996
FBgn0032967 CG1428
FBgn0037183 CG14451
FBgn0039408 CG14551
FBgn0037282 CG14657
