".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"	"p.adj.formatted"
"values"	"Active_Active_Control"	"Active_Active_SUMO"	50999	50999	18.4948843064866	2.2702873222221e-76	2.2702873222221e-75	"****"	"2.27e-75"
"values"	"Het_Active_Control"	"Het_Active_SUMO"	7592	7592	3.8999869897541	9.61978572794113e-05	0.000240494643198528	"***"	"0.00024"
"values"	"Null_Active_Control"	"Null_Active_SUMO"	104791	104791	-0.00389367394864981	0.996893305521516	0.996893305521516	"ns"	"0.997"
"values"	"PcG_Active_Control"	"PcG_Active_SUMO"	28120	28120	10.4293358778941	1.82156975878937e-25	9.10784879394684e-25	"****"	"9.11e-25"
"values"	"Het_Het_Control"	"Het_Het_SUMO"	455	455	-0.397759350430551	0.690807583842769	0.953662522649174	"ns"	"0.954"
"values"	"Null_Het_Control"	"Null_Het_SUMO"	7426	7426	-3.52224469815673	0.000427908973203891	0.000855817946407782	"***"	"0.000856"
"values"	"PcG_Het_Control"	"PcG_Het_SUMO"	1897	1897	0.362550485060357	0.716940704157028	0.953662522649174	"ns"	"0.954"
"values"	"Null_Null_Control"	"Null_Null_SUMO"	61411	61411	-8.90789691064838	5.20097243776334e-19	1.73365747925445e-18	"****"	"1.73e-18"
"values"	"PcG_Null_Control"	"PcG_Null_SUMO"	33040	33040	0.178543361857853	0.858296270384257	0.953662522649174	"ns"	"0.954"
"values"	"PcG_PcG_Control"	"PcG_PcG_SUMO"	4670	4670	0.234753418125765	0.814400124362381	0.953662522649174	"ns"	"0.954"
