Geneid    	WD_NOnub_Rep1  	WD_NOnub_Rep2  	WD_NOnub_Rep3  	WD_SUMOnub_Rep1	WD_SUMOnub_Rep2	WD_SUMOnub_Rep3
FBgn0031081	12             	16             	43             	23             	44             	25             
FBgn0052826	0              	0              	0              	0              	0              	0              
FBgn0031085	0              	3              	1              	3              	2              	1              
FBgn0062565	64             	65             	36             	0              	1              	5              
FBgn0031088	3              	0              	3              	3              	8              	5              
FBgn0041626	4              	7              	2              	0              	0              	2              
FBgn0040784	0              	0              	0              	0              	0              	0              
FBgn0031086	3              	4              	1              	0              	0              	1              
FBgn0031082	0              	0              	0              	0              	0              	1              
FBgn0031080	0              	4              	1              	2              	2              	0              
FBgn0052821	0              	0              	0              	0              	0              	0              
FBgn0053217	473            	470            	423            	445            	382            	417            
FBgn0052350	935            	940            	914            	793            	719            	802            
FBgn0024733	41962          	42883          	41275          	42570          	38520          	39907          
FBgn0040372	3831           	3913           	3959           	3656           	3445           	3539           
FBgn0000316	1541           	1657           	1584           	1595           	1795           	1748           
FBgn0024989	4095           	5690           	4787           	6464           	6118           	6183           
FBgn0040371	0              	5              	1              	0              	2              	0              
FBgn0029521	1              	0              	1              	1              	1              	0              
FBgn0004034	8              	8              	3              	16258          	5426           	7084           
FBgn0000022	309            	309            	286            	333            	310            	273            
FBgn0004170	633            	558            	574            	497            	670            	589            
FBgn0002561	8              	9              	8              	10             	9              	7              
FBgn0000137	42             	26             	36             	27             	34             	30             
FBgn0029522	270            	310            	269            	303            	208            	202            
FBgn0052817	142            	138            	123            	129            	148            	107            
FBgn0029524	170            	160            	144            	156            	161            	150            
FBgn0023536	278            	327            	314            	283            	305            	274            
FBgn0023534	5              	4              	7              	3              	5              	6              
FBgn0023535	51             	17             	76             	57             	50             	77             
FBgn0023537	4381           	4535           	4166           	3845           	2753           	2571           
FBgn0029525	1910           	2170           	1868           	2039           	2025           	1940           
FBgn0029523	319            	323            	392            	307            	442            	372            
FBgn0010019	9              	4              	21             	98             	51             	36             
FBgn0011822	0              	0              	0              	14             	21             	17             
FBgn0052816	13             	26             	31             	52             	37             	38             
FBgn0040370	0              	2              	2              	7              	4              	5              
FBgn0040373	1536           	1603           	1647           	1557           	1586           	1608           
FBgn0000108	207            	253            	243            	249            	170            	252            
FBgn0025640	259            	315            	338            	374            	371            	341            
FBgn0025635	753            	806            	727            	719            	786            	741            
FBgn0001341	2419           	2652           	2102           	2074           	1661           	1751           
FBgn0003575	3104           	3236           	3282           	3074           	3243           	3195           
FBgn0025634	978            	1032           	947            	1060           	1103           	1020           
FBgn0025638	4050           	3973           	3502           	3438           	3031           	2995           
FBgn0040383	79             	94             	191            	271            	393            	414            
FBgn0040382	2527           	2861           	2655           	2354           	3004           	2623           
FBgn0027343	1281           	1338           	1328           	1693           	1057           	1184           
FBgn0025621	1584           	1639           	1750           	1773           	1798           	1684           
FBgn0029535	0              	0              	0              	0              	0              	0              
FBgn0026874	1              	5              	4              	4              	0              	2              
FBgn0025616	1              	0              	2              	1              	0              	2              
FBgn0015799	3705           	4021           	3368           	4190           	3424           	3377           
FBgn0025620	70             	26             	304            	142            	8              	48             
FBgn0015288	32372          	34063          	34660          	34717          	34424          	38542          
FBgn0029532	5              	5              	5              	3              	3              	5              
FBgn0029531	1              	4              	2              	4              	5              	2              
FBgn0025639	7311           	7084           	7119           	6465           	6630           	6339           
FBgn0002579	23642          	23965          	22883          	23745          	23727          	20607          
FBgn0026879	1465           	1470           	1458           	1495           	1224           	1225           
FBgn0029529	248            	266            	217            	274            	258            	240            
FBgn0025633	3853           	4160           	3984           	4165           	4012           	3734           
FBgn0040892	0              	0              	0              	0              	0              	0              
FBgn0040341	0              	0              	0              	0              	0              	0              
FBgn0029539	0              	0              	1              	1              	0              	0              
FBgn0040339	577            	687            	654            	623            	671            	652            
FBgn0052815	14             	15             	16             	36             	30             	40             
FBgn0040340	5567           	4703           	4680           	4480           	4317           	3720           
FBgn0040347	224            	323            	314            	320            	299            	279            
FBgn0042146	1              	0              	0              	2              	2              	0              
FBgn0029552	1              	1              	0              	0              	0              	0              
FBgn0040337	285            	324            	308            	330            	342            	349            
FBgn0040398	451            	119            	1094           	319            	94             	155            
FBgn0040365	0              	1              	1              	2              	0              	0              
FBgn0040397	3264           	3447           	3426           	2893           	3909           	3681           
FBgn0026143	1418           	1630           	1379           	1366           	1205           	1130           
FBgn0040351	2              	5              	6              	3              	2              	4              
