seqnames	start	end	width	strand	Conc	Conc_WD_SUMOnub	Conc_WD_NOnub	Fold	p.value	FDR	WD_SUMOnub1	WD_SUMOnub2	WD_NOnub1	WD_NOnub2
chr2R	19065155	19123958	58804	*	8.603308497368	9.603308497368	0	24.2538807514592	4.04334455249459e-10	4.34064255524449e-07	0	1555.66	0	0
chr3L	22996372	23042300	45929	*	8.57954667977444	9.57954667977444	0	24.2255196566602	4.83241565422902e-10	4.34064255524449e-07	0	1530.24	0	0
chr3L	23204669	23289448	84780	*	8.58019406369416	9.58019406369416	0	24.1361633345225	5.57313121778352e-10	4.34064255524449e-07	0	1530.93	0	0
chr2R	1647061	1780937	133877	*	8.54746364355031	9.54746364355031	0	24.1839898212968	6.17203211379065e-10	4.34064255524449e-07	0	1496.59	0	0
chr3L	9906120	9974054	67935	*	8.54348562161569	9.54348562161569	0	24.1810598675832	6.33855513324253e-10	4.34064255524449e-07	0	1492.47	0	0
chr2L	4934450	4994702	60253	*	8.50445511044172	9.50445511044172	0	24.134753333035	8.45573893187817e-10	4.82540835045848e-07	0	1452.63	0	0
chr3L	23552593	23693668	141076	*	8.48176751573382	9.48176751573382	0	24.1010608442093	1.00977209420119e-09	4.93280344047819e-07	0	1429.97	0	0
chr3L	27277316	27424159	146844	*	8.45448665116763	9.45448665116763	0	24.07249891794	1.2284299719753e-09	4.93280344047819e-07	0	1403.18	0	0
chr3R	12404028	12469776	65749	*	8.49281212501167	9.49281212501167	0	23.9053768835734	1.29658968937803e-09	4.93280344047819e-07	0	1440.96	0	0
chr2L	22119183	22172204	53022	*	8.3931782120381	9.3931782120381	0	23.9969073377061	1.95483117584862e-09	6.69334194610568e-07	0	1344.8	0	0
chr2L	2675734	2721431	45698	*	8.35055597908296	9.35055597908296	0	23.9434250467129	2.71421578049002e-09	8.44861348399804e-07	0	1305.65	0	0
chr3R	565076	2534932	1969857	*	11.5263716007518	12.5263716007518	0	26.4794853641374	4.47795148580574e-09	1.20822201721244e-06	0	11798.96	0	0
chr2R	1347167	1445935	98769	*	8.28456164972532	9.28456164972532	0	23.8520472540204	4.58729153731359e-09	1.20822201721244e-06	0	1247.27	0	0
chr3R	5777315	5828576	51262	*	8.25972152135087	9.25972152135087	0	23.825551784555	5.5277957045673e-09	1.35194089231703e-06	0	1225.98	0	0
chr2L	22306755	22370796	64042	*	8.2311523691541	9.2311523691541	0	23.7862945181499	6.94040691560614e-09	1.51505223721079e-06	0	1201.94	0	0
chr3L	12114101	12158990	44890	*	8.22867705535116	9.22867705535116	0	23.7827862117293	7.07968335145227e-09	1.51505223721079e-06	0	1199.88	0	0
chr3L	19791569	19862925	71357	*	8.21122991161336	9.21122991161336	0	23.7600544736403	8.12014836533289e-09	1.63549341193528e-06	0	1185.46	0	0
chr2R	17013894	17064634	50741	*	8.18167410684439	9.18167410684439	0	23.7220377669253	1.02338384208959e-08	1.94670348628597e-06	0	1161.42	0	0
chr3L	9691821	9735807	43987	*	8.14538884587187	9.14538884587187	0	23.6728366297237	1.36340533386304e-08	2.45699992797214e-06	0	1132.57	0	0
chr2R	5493861	5551543	57683	*	8.12601169810693	9.12601169810693	0	23.5635483051977	1.7822676122415e-08	3.05124215215745e-06	0	1117.46	0	0
chr2L	12170586	12315438	144853	*	10.0574611439631	11.0574611439631	0	25.0401851421207	2.91015128387883e-08	4.74493237904815e-06	0	4262.43	0	0
chr3R	25043151	25078382	35232	*	8.03827172993419	9.03827172993419	0	23.507589890628	3.23613633750943e-08	5.03660491801468e-06	0	1051.53	0	0
chr2L	10371900	10452080	80181	*	8.16105155142082	9.16105155142082	0	22.8013879610793	4.14716600894128e-08	6.17386800635432e-06	0	1144.94	0	0
chr2R	324768	707848	383081	*	9.61662285064888	10.6166228506489	0	24.5876346499502	5.13445523326337e-08	7.32515613278908e-06	0	3140.16	0	0
chr3L	24072180	24301205	229026	*	9.25972152135087	10.2597215213509	0	24.4463176863786	6.11839351607347e-08	8.15084516643878e-06	0	2451.96	0	0
chr2L	19031498	19071851	40354	*	7.95586499938552	8.95586499938552	0	23.3806196318857	6.18930999787991e-08	8.15084516643878e-06	0	993.15	0	0
chr2R	4915519	5023955	108437	*	7.94484818399746	8.94484818399746	0	23.3948068124025	6.47574599504964e-08	8.21220529149999e-06	0	985.59	0	0
chr3R	24648043	24713595	65553	*	9.13925157421221	10.1392515742122	0	24.3365304020702	7.00607886345125e-08	8.56743358159182e-06	0	2255.53	0	0
chr3L	21488586	21531333	42748	*	8.00104498268964	9.00104498268964	0	22.9403268823549	8.44983020122284e-08	9.97662710654724e-06	0	1024.74	0	0
chr2L	1830565	1860550	29986	*	7.90199270503566	8.90199270503566	0	23.3287693549161	8.98698992302974e-08	1.02571511654846e-05	0	956.75	0	0
chr2R	3064499	3193011	128513	*	8.86687359845917	9.86687359845917	0	24.0906693045399	9.46895198449246e-08	1.04374902374067e-05	0	1867.48	0	0
chr3R	28024615	28092740	68126	*	8.84009675257637	9.84009675257637	0	24.0662736484982	9.75466377327727e-08	1.04374902374067e-05	0	1833.13	0	0
