chrom	start	end	insNOnub	insSUMOnub
chr2L	20000	21000	-0.112256996333599	-0.247038006782532
chr2L	65000	66000	-0.195291996002197	-0.14342699944973
chr2L	74000	75000	-0.159354001283646	-0.250800013542175
chr2L	107000	108000	0.15234899520874	0.138454005122185
chr2L	108000	109000	0.15234899520874	0.138454005122185
chr2L	141000	142000	0.107901997864246	0.0807290002703667
chr2L	207000	208000	0.692345023155212	0.562263011932373
chr2L	248000	249000	-0.257283985614777	-0.299277991056442
chr2L	249000	250000	-0.257283985614777	-0.299277991056442
chr2L	299000	300000	-0.137935996055603	-0.205344006419182
chr2L	414000	415000	-0.0918689966201782	-0.231142997741699
chr2L	451000	452000	0.204440996050835	0.224983006715775
chr2L	489000	490000	-0.308288991451263	-0.326557993888855
chr2L	540000	541000	-0.183261007070541	-0.2394710034132
chr2L	541000	542000	-0.183261007070541	-0.2394710034132
chr2L	588000	589000	-0.0512959994375706	0.00138499995227903
chr2L	589000	590000	-0.0512959994375706	0.00138499995227903
chr2L	604000	605000	-0.439680993556976	-0.484710991382599
chr2L	605000	606000	-0.439680993556976	-0.484710991382599
chr2L	684000	685000	0.455814987421036	0.42059001326561
chr2L	699000	700000	0.286051988601685	0.219747006893158
chr2L	803000	804000	-0.30316099524498	-0.374689996242523
chr2L	804000	805000	-0.30316099524498	-0.374689996242523
chr2L	850000	851000	0.00118100002873689	-0.151313006877899
chr2L	871000	872000	-0.513487994670868	-0.486041009426117
chr2L	976000	977000	0.0200869999825954	0.0629179999232292
chr2L	1009000	1010000	0.170162007212639	0.235198006033897
chr2L	1047000	1048000	-0.207868993282318	-0.161588996648788
chr2L	1048000	1049000	-0.207868993282318	-0.161588996648788
chr2L	1080000	1081000	-0.128374993801117	-0.0822620019316673
chr2L	1081000	1082000	-0.128374993801117	-0.0822620019316673
chr2L	1109000	1110000	0.202463001012802	0.189514994621277
chr2L	1116000	1117000	0.215167000889778	0.171581998467445
chr2L	1140000	1141000	-0.236992001533508	-0.262594014406204
chr2L	1141000	1142000	-0.236992001533508	-0.262594014406204
chr2L	1195000	1196000	-0.371392011642456	-0.490328013896942
chr2L	1196000	1197000	-0.371392011642456	-0.490328013896942
chr2L	1216000	1217000	-0.0207330007106066	0.0488560013473034
chr2L	1229000	1230000	-0.0944570004940033	-0.0258389990776777
chr2L	1370000	1371000	-0.402011007070541	-0.306885004043579
chr2L	1371000	1372000	-0.402011007070541	-0.306885004043579
chr2L	1485000	1486000	-0.268366008996964	-0.294892996549606
chr2L	1486000	1487000	-0.268366008996964	-0.294892996549606
chr2L	1614000	1615000	-0.291877001523972	-0.233481004834175
chr2L	1615000	1616000	-0.291877001523972	-0.233481004834175
chr2L	1683000	1684000	0.355937004089355	0.563317000865936
chr2L	1689000	1690000	0.234068006277084	0.363480001688004
chr2L	1708000	1709000	0.0364199988543987	0.0130810001865029
chr2L	1709000	1710000	0.0364199988543987	0.0130810001865029
chr2L	1760000	1761000	-0.782279014587402	-0.60692298412323
chr2L	1776000	1777000	-0.285441994667053	-0.237454995512962
chr2L	1802000	1803000	-0.131643995642662	0.0579750016331673
chr2L	1816000	1817000	-0.163642004132271	0.112109996378422
chr2L	1863000	1864000	-0.254265010356903	-0.0990649983286858
chr2L	1864000	1865000	-0.254265010356903	-0.0990649983286858
chr2L	1883000	1884000	0.149142995476723	0.181004002690315
chr2L	1884000	1885000	0.149142995476723	0.181004002690315
chr2L	1898000	1899000	0.102456003427505	0.083127997815609
chr2L	1900000	1901000	0.104542002081871	0.0990490019321442
chr2L	1971000	1972000	-0.266326993703842	-0.258368998765945
chr2L	1987000	1988000	-0.0715330019593239	-0.140163004398346
chr2L	2053000	2054000	-0.645906984806061	-0.559554994106293
chr2L	2054000	2055000	-0.645906984806061	-0.559554994106293
chr2L	2103000	2104000	0.344186991453171	0.374217987060547
chr2L	2247000	2248000	-0.536328017711639	-0.453476995229721
chr2L	2289000	2290000	0.0072949999012053	0.0483499988913536
chr2L	2317000	2318000	-0.367920011281967	-0.287537008523941
chr2L	2355000	2356000	-0.389394998550415	-0.429224997758865
chr2L	2356000	2357000	-0.389394998550415	-0.429224997758865
chr2L	2375000	2376000	-0.270906001329422	-0.305485010147095
chr2L	2376000	2377000	-0.270906001329422	-0.305485010147095
chr2L	2413000	2414000	-0.154644995927811	-0.139633998274803
chr2L	2414000	2415000	-0.154644995927811	-0.139633998274803
chr2L	2499000	2500000	-0.704931020736694	-0.808583974838257
chr2L	2500000	2501000	-0.704931020736694	-0.808583974838257
chr2L	2722000	2723000	-0.622274994850159	-0.586658000946045
chr2L	2770000	2771000	-0.0627499967813492	-0.053116001188755
chr2L	2802000	2803000	0.00320599996484816	0.069470003247261
chr2L	2803000	2804000	0.00320599996484816	0.069470003247261
