seqnames	start	end	width	strand	Conc	Conc_WD_SUMOnub	Conc_WD_NOnub	Fold	p.value	FDR	WD_SUMOnub1	WD_SUMOnub2	WD_NOnub1	WD_NOnub2
	seqnames	start	end	width	strand	Conc	Conc_WD_SUMOnub	Conc_WD_NOnub	Fold	p.value	FDR	WD_SUMOnub1	WD_SUMOnub2	WD_NOnub1	WD_NOnub2
Fis1_FBgn0039969_Up	chr2R	5602834	5613586	10753	*	9.76137963560464	10.2413275083049	9.03711792617245	1.14101703178381	2.03037135698955e-16	6.71849882027843e-13	1158.38	1262.52	511.54	539.15
Dbp80_FBgn0024804_notChanged	chr3L	27277316	27424159	146844	*	8.94948460062713	9.94948460062713	0	11.9590920288968	3.84650367988508e-14	6.23276154785417e-11	528.93	1448.6	0	0
CG31272_FBgn0051272_notChanged	chr3R	10757398	10769804	12407	*	8.97966126193101	9.59129759528442	7.89654660451148	1.62473333265537	5.65073576414703e-14	6.23276154785417e-11	747.53	795.23	264.97	211.6
btv_FBgn0023096_notChanged	chr2L	17980472	17990619	10148	*	7.00893591890612	8.00893591890612	0	10.0499710364302	2.71546489010423e-10	2.24636833033873e-07	192.25	322.93	0	0
CG44329_FBgn0265417_notChanged	chrX	5810977	5842823	31847	*	7.37772911548909	8.37772911548909	0	10.3603384320189	5.83590466298041e-09	3.45872737255752e-06	133.7	531.54	0	0
mthl8_FBgn0052475_notChanged	chr3L	20428	28308	7881	*	6.82467536874983	7.82005639485502	0	8.47678912233835	6.31205970070376e-09	3.45872737255752e-06	216.65	235.31	0	1.45
CG13284_FBgn0032614_Up	chr2L	16846716	16854368	7653	*	6.41006655552586	7.41006655552586	0	9.45122417917145	7.31673968204975e-09	3.45872737255752e-06	164.93	175.23	0	0
Cyp4p2_FBgn0033395_Up	chr2R	9235512	9249249	13738	*	6.75305899249481	7.75305899249481	0	9.76519571098751	1.41714569465529e-08	5.86166887951793e-06	132.72	298.73	0	0
CG13631_FBgn0040600_Up	chr3R	24767351	24789421	22071	*	6.83393533055475	7.83393533055475	0	9.83579242623556	2.0131887265067e-08	7.40182388445629e-06	125.89	330.44	0	0
DIP-lambda_FBgn0267428_Up	chr2R	324768	707848	383081	*	6.98444291164087	7.98444291164087	0	20.9943518303759	2.96409176308364e-08	9.71972946420952e-06	0	506.51	0	0
Frq1_FBgn0030897_notChanged	chrX	18153369	18207144	53776	*	6.97250988214489	7.97250988214489	0	20.9690619246236	3.23109773666681e-08	9.71972946420952e-06	0	502.34	0	0
CG12814_FBgn0037796_notChanged	chr3R	10187603	10257268	69666	*	6.94834357101413	7.94834357101413	0	20.9292401975444	3.78044715463144e-08	1.04245830288962e-05	0	493.99	0	0
pros_FBgn0004595_Up	chr3R	11326480	11418142	91663	*	6.80228528667369	7.80228528667369	0	20.683962546324	9.63840655772674e-08	2.45334517688598e-05	0	446.43	0	0
CG5849_FBgn0038897_Down	chr3R	21738105	21759758	21654	*	6.66532302764818	7.65876958096687	0	7.44860635375465	1.62894421486278e-07	3.85012600498639e-05	117.11	287.05	1.84	0
Ino80_FBgn0086613_notChanged	chr3R	19401153	19599288	198136	*	8.30589557563222	9.30589557563222	0	21.4133357852264	2.10024172711846e-07	4.51028016344253e-05	0	1265.85	0	0
X11Lbeta_FBgn0052677_notChanged	chrX	10625737	10712947	87211	*	8.20649575546818	9.20649575546818	0	21.3834981725777	2.18085471789303e-07	4.51028016344253e-05	0	1181.58	0	0
ppk8_FBgn0052792_notChanged	chrX	3555812	3668724	112913	*	8.14403166852153	9.14403166852153	0	21.3234874532012	2.35184001281665e-07	4.57778741318253e-05	0	1131.51	0	0
CG17716_FBgn0000633_notChanged	chr2R	13621044	13751367	130324	*	6.60925492496859	7.60925492496859	0	20.3328255281799	3.17919810969549e-07	5.75533423144163e-05	0	390.52	0	0
lncRNA:CR46056_FBgn0267723_notChanged	chr3R	21636652	21641088	4437	*	8.78469545896968	8.27585537322935	9.16011057272972	-0.702232697882392	3.35091722103193e-07	5.75533423144163e-05	298.62	321.26	583.3	560.89
