seqnames	start	end	width	strand	Conc	Conc_WD_SUMOnub	Conc_WD_NOnub	Fold	p.value	FDR	WD_SUMOnub1	WD_SUMOnub2	WD_NOnub1	WD_NOnub2
chr4	1318222	1319517	1296	*	8.25979013143467	5.86753814663619	9.11539333371838	-3.16760087721249	1.14692714311559e-30	6.92399916298885e-27	43.97	72.8	558.1	551.17
chr2R	7248855	7250283	1429	*	8.65436312419405	7.58363162696744	9.26215261269185	-1.46145588113573	4.99262118918311e-17	1.50702270595492e-13	169.36	214.29	626.38	601.67
chr3L	9040963	9045683	4721	*	10.8553371926235	10.4551832935875	11.1682608627352	-0.692160864985659	5.19750504656296e-15	1.04591126553669e-11	1369.51	1438.21	2194.3	2408.39
chrX	18309294	18313060	3767	*	10.5257800269332	9.94550875573507	10.9384661785733	-0.94632390349619	1.58051288982251e-14	2.38538907896462e-11	1081.28	890.81	1855.51	2069.47
chr2R	18890479	18891650	1172	*	8.39867553333752	7.51709200209723	8.94190280066075	-1.27623383136264	2.96287196610124e-14	3.57737161187064e-11	190.53	175.83	487.19	496.4
chrX	71690	73275	1586	*	8.9222737440126	8.04048574853357	9.46557716035876	-1.25279369446788	9.67006022046258e-14	9.72969225848876e-11	231.24	295.33	732.75	681.26
chr3R	16112742	16115148	2407	*	9.41293439305904	8.85340539600677	9.81508500088652	-0.904465464569813	1.02789766149482e-12	8.86488311777751e-10	455.96	469.1	862.75	938.88
chr3R	23291868	23294442	2575	*	10.3357596776462	9.93175587625647	10.6510268202617	-0.699492221261984	2.50688764183751e-12	1.89176008672163e-09	1027.54	925.84	1628.33	1587.62
chr2L	545858	548962	3105	*	10.4093280489795	9.93847357275453	10.7637383208362	-0.794740076749357	3.38923598538514e-12	2.19650671871346e-09	1068.25	894.25	1717.62	1759.64
chr3L	1483955	1485491	1537	*	8.7870438403678	8.10064346090752	9.25024529341455	-1.04841999709776	3.63840768380563e-12	2.19650671871346e-09	273.58	275.42	634.26	583.7
chrX	6002805	6005586	2782	*	9.08831100481888	8.42141807300199	9.54263249459814	-1.03570126817809	4.43247803167275e-12	2.43262453429167e-09	361.51	324.18	699.92	791.67
chr3R	13874707	13878133	3427	*	10.4945696980123	10.1567840659553	10.7680797824862	-0.596133751708282	2.15566580818789e-11	1.08447954033586e-08	1146.41	1136.69	1688.73	1799.01
chr2R	11768278	11769729	1452	*	8.99138935203293	8.40790677056725	9.40568632200548	-0.924543776333175	2.40510102261669e-11	1.116891913349e-08	333.83	345.47	668.4	688.11
chr3L	13401170	13405061	3892	*	10.7842916391599	10.4719850213451	11.0408758929115	-0.550330101342092	5.89679169226359e-11	2.54278081758538e-08	1364.62	1475.99	2080.06	2133.65
chr2R	14462337	14464820	2484	*	10.1077802579222	9.60451617238218	10.480165453145	-0.832239248181087	7.29577921096088e-11	2.93630793977139e-08	846.78	710.18	1353.88	1502.89
chr2R	8020377	8022171	1795	*	9.02135863489703	8.4249801570821	9.4420704251775	-0.931184033151154	8.05354361949342e-11	3.03870267693011e-08	324.06	363.33	686.79	704.37
chr3R	25080523	25084530	4008	*	10.3593994476637	9.98855742447535	10.6541454416265	-0.641176855209826	1.12829405620042e-10	4.0067713042835e-08	993.34	1038.48	1537.72	1685.19
chr3R	23289153	23289881	729	*	8.81216898205672	8.20998527515866	9.23574060540423	-0.945473831634532	1.23243622703993e-10	4.13345416813338e-08	299.63	292.59	586.99	618.79
chr2R	9194095	9196094	2000	*	9.09110904466248	8.52880138455276	9.49468430473672	-0.889141583820067	1.52884435948583e-10	4.85770178853473e-08	353.37	385.31	739.31	703.52
chr3L	19680916	19681830	915	*	9.0907821630232	8.50194044105909	9.50775536839985	-0.931808546533218	2.65283733148457e-10	7.42716666883467e-08	389.19	335.86	752.44	703.52
chr2R	7246411	7247201	791	*	7.98062696547549	6.12265905080575	8.76650006723838	-1.69827286143135	2.67871838594331e-10	7.42716666883467e-08	39.08	100.28	446.48	424.51
chr2R	23245113	23247613	2501	*	9.71180647599807	9.2377157921189	10.0680399947202	-0.775999712985109	2.79238708872135e-10	7.42716666883467e-08	561.81	645.61	1070.23	1076.67
chr2L	381101	382340	1240	*	9.41007203343208	8.93119124908329	9.76899254712264	-0.795538928565001	2.82963116420735e-10	7.42716666883467e-08	511.33	464.98	874.57	870.41
chr3R	23286642	23287649	1008	*	8.4473419485002	7.76484287820797	8.90878143261142	-1.02610620514857	3.85430443117867e-10	9.69518160459401e-08	216.58	218.41	464.86	496.4
chr3L	12582363	12584395	2033	*	9.58539513549507	9.15280265963566	9.91775458896963	-0.72450110079893	4.97230233710054e-10	1.20071156836304e-07	555.29	583.11	949.42	985.09
chr3L	22130730	22133190	2461	*	9.9505531434742	9.53490057033817	10.2728501568455	-0.697623799751328	5.22315395284487e-10	1.21277616974325e-07	711.62	771.99	1285.59	1188.79
chr3R	6848572	6850362	1791	*	8.75932154032603	8.14902136421727	9.18686293324425	-0.939793447910463	5.76843617483827e-10	1.28977959953699e-07	270.32	297.39	589.61	575.99
chr2R	7241019	7242806	1788	*	8.45014855118005	7.23109649900078	9.10131289409065	-1.40678426648268	8.10790612694434e-10	1.74812247458439e-07	107.48	193	573.85	524.64
chr2L	14576686	14578052	1367	*	8.9604931890166	8.3928654294928	9.36678457954709	-0.897959762190232	8.76089538301305e-10	1.82377673887068e-07	337.09	335.17	623.75	696.67
chr2L	9607087	9610248	3162	*	11.0166571355514	10.7395657590997	11.2490070501294	-0.492657665945092	9.93132273741733e-10	1.99851317885961e-07	1631.69	1787.8	2426.73	2440.91
chr2R	13038770	13042890	4121	*	10.8701932021079	10.510895445312	11.1576135610524	-0.616309715755353	1.24212518310861e-09	2.41893862271828e-07	1338.57	1579.7	2269.15	2299.69
chr2L	21896975	21899779	2805	*	9.58791900083693	9.17206088253712	9.91033924317775	-0.706461393982633	1.3712436096998e-09	2.58693677242428e-07	596.01	557.7	965.18	959.42
chr3L	12625096	12628157	3062	*	9.74054602934826	9.31012336081439	10.0716270829206	-0.729079748843994	1.47490319822382e-09	2.62713279231917e-07	669.28	600.28	1041.34	1110.9
chr2R	14798778	14800222	1445	*	9.52624603093837	9.09050645847475	9.86045426214154	-0.724182458549636	1.479584478033e-09	2.62713279231917e-07	524.35	565.94	929.72	929.46
chr2L	15107189	15112512	5324	*	10.7504417608872	10.3125514542016	11.0859097759907	-0.727013808963083	1.82681322709691e-09	3.11421149235444e-07	1146.41	1397	2045.91	2301.4
chr3L	5633013	5634533	1521	*	9.18891046640089	8.67027021648132	9.56960731449735	-0.84254753499979	1.85707493332384e-09	3.11421149235444e-07	431.53	383.25	734.06	785.68
chr2L	9579126	9583275	4150	*	11.2400121434151	11.0053508578481	11.4417908806324	-0.433060981948373	2.17666946293483e-09	3.55150095884798e-07	2128.36	1982.86	2756.34	2807.22
chr3L	21642982	21645094	2113	*	8.89733748638699	8.26445544666312	9.3357508042616	-0.953471951514695	2.59200264775914e-09	4.11787368013735e-07	278.46	336.54	668.4	623.92
chrX	4423922	4425488	1567	*	8.32431811196718	7.52566092271235	8.83539745601946	-1.11625544414316	2.71938793878328e-09	4.20947307344478e-07	169.36	199.18	418.9	494.69
chr2R	23300424	23301001	578	*	7.54999967767001	6.5108407712514	8.14778245971988	-1.28548099603326	3.18697434569747e-09	4.6540989893275e-07	81.42	100.96	296.78	270.45
chr2L	368186	371261	3076	*	10.4814347841605	10.0452202313928	10.8159214894657	-0.721280562086818	3.19014474934953e-09	4.6540989893275e-07	942.86	1170.35	1780.65	1824.69
chr3L	431606	433838	2233	*	10.2376098503391	9.84731142229492	10.544488281548	-0.657949173055747	3.23790222878508e-09	4.6540989893275e-07	853.3	989.03	1514.08	1472.93
