FBgn0031208	CR11023   	chr2L     	7529      	9484      	+         	7529      	1.35995948996221	in        	PcG1      	chr2L     	5001      	20000     
FBgn0002121	l(2)gl    	chr2L     	9839      	21376     	-         	21376     	0.106160266214389	in        	Null1     	chr2L     	20000     	66000     
FBgn0031209	Ir21a     	chr2L     	21823     	25155     	-         	25155     	4.17345419044623	in        	Null1     	chr2L     	20000     	66000     
FBgn0263584	asRNA:CR43609	chr2L     	21952     	24237     	+         	21952     	2.39531663593366	in        	Null1     	chr2L     	20000     	66000     
FBgn0051973	Cda5      	chr2L     	25402     	65404     	-         	65404     	0.971326028160713	in        	Null1     	chr2L     	20000     	66000     
FBgn0267987	lncRNA:CR46254	chr2L     	54817     	55767     	+         	54817     	2.9782297223401	in        	Null1     	chr2L     	20000     	66000     
FBgn0067779	dbr       	chr2L     	66482     	71390     	+         	66482     	0.0206499525485376	482out    	Null1     	chr2L     	20000     	66000     
FBgn0266322	asRNA:CR44987	chr2L     	71039     	73836     	-         	73836     	-1.34856791264718	164out    	Active1   	chr2L     	74000     	108000    
FBgn0031213	galectin  	chr2L     	71757     	76211     	+         	71757     	0.0415189785939946	in        	Active1   	chr2L     	74000     	108000    
FBgn0031214	CG11374   	chr2L     	76348     	77783     	+         	76348     	1.09755539493834	in        	Active1   	chr2L     	74000     	108000    
FBgn0002931	net       	chr2L     	82421     	87387     	-         	87387     	-0.549433871378232	in        	Active1   	chr2L     	74000     	108000    
FBgn0031216	Zir       	chr2L     	94739     	102086    	+         	94739     	-0.108179151306825	in        	Active1   	chr2L     	74000     	108000    
FBgn0031217	CG11377   	chr2L     	102380    	104142    	+         	102380    	-0.120629685833952	in        	Active1   	chr2L     	74000     	108000    
FBgn0026787	Nhe1      	chr2L     	103962    	106732    	-         	106732    	0.15077590396307	in        	Active1   	chr2L     	74000     	108000    
FBgn0005278	Sam-S     	chr2L     	106903    	114432    	+         	106903    	-0.0931395739644252	in        	Active1   	chr2L     	74000     	108000    
FBgn0031228	ND-15     	chr2L     	114726    	156030    	+         	114726    	-0.406139747936968	in        	Active2   	chr2L     	108000    	142000    
FBgn0031220	CG4822    	chr2L     	116970    	121754    	-         	121754    	-1.64554116284657	in        	Active2   	chr2L     	108000    	142000    
FBgn0025683	CG3164    	chr2L     	122624    	130791    	-         	130791    	-0.00355727202178809	in        	Active2   	chr2L     	108000    	142000    
FBgn0266304	asRNA:CR44969	chr2L     	122837    	124031    	+         	122837    	-0.446251609309002	in        	Active2   	chr2L     	108000    	142000    
