chrom	start	end	ins1	ins2
chr2L	20000	64000	-0.247038006782532	-0.16091400384903
chr2L	64000	108000	-0.16091400384903	0.138454005122185
chr2L	108000	142000	0.138454005122185	0.0807290002703667
chr2L	207000	249000	0.562263011932373	-0.299277991056442
chr2L	249000	300000	-0.299277991056442	-0.205344006419182
chr2L	414000	451000	-0.231142997741699	0.223856002092361
chr2L	451000	472000	0.223856002092361	-0.123796999454498
chr2L	489000	542000	-0.326557993888855	-0.252954006195068
chr2L	542000	589000	-0.252954006195068	0.00138499995227903
chr2L	589000	605000	0.00138499995227903	-0.484710991382599
chr2L	605000	685000	-0.484710991382599	0.42059001326561
chr2L	699000	741000	0.219747006893158	-0.215972006320953
chr2L	741000	804000	-0.215972006320953	-0.374689996242523
chr2L	804000	851000	-0.374689996242523	-0.151313006877899
chr2L	887000	975000	-0.456252992153168	0.0145309995859861
chr2L	1009000	1048000	0.235198006033897	-0.161588996648788
chr2L	1048000	1078000	-0.161588996648788	-0.106252998113632
chr2L	1078000	1116000	-0.106252998113632	0.171581998467445
chr2L	1141000	1187000	-0.262594014406204	-0.629562020301819
chr2L	1187000	1215000	-0.629562020301819	0.0432029999792576
chr2L	1229000	1491000	-0.0258389990776777	-0.339199006557465
chr2L	1491000	1615000	-0.339199006557465	-0.233481004834175
chr2L	1615000	1642000	-0.233481004834175	0.0182889997959137
chr2L	1640001	1684000	0.0803370028734207	0.563317000865936
chr2L	1689000	1709000	0.363480001688004	0.0130810001865029
chr2L	1732000	1761000	-0.238380998373032	-0.60692298412323
chr2L	1772000	1803000	-0.566641986370087	0.0579750016331673
chr2L	1811000	1864000	0.0878560021519661	-0.0990649983286858
chr2L	1868000	1897000	-0.117646001279354	0.06233099848032
chr2L	1897000	1972000	0.06233099848032	-0.258368998765945
chr2L	1987000	2053000	-0.140163004398346	-0.56333202123642
chr2L	2053000	2104000	-0.56333202123642	0.374217987060547
chr2L	2247000	2296000	-0.453476995229721	0.00830100011080503
chr2L	2316000	2355000	-0.288897007703781	-0.42993700504303
chr2L	2355000	2376000	-0.42993700504303	-0.305485010147095
chr2L	2376000	2414000	-0.305485010147095	-0.139633998274803
chr2L	2414000	2502000	-0.139633998274803	-0.822210013866425
chr2L	2502000	2596000	-0.822210013866425	-0.409851014614105
chr2L	2596000	2723000	-0.409851014614105	-0.586658000946045
chr2L	2774000	2803000	-0.0571409985423088	0.069470003247261
chr2L	2803000	2857000	0.069470003247261	-0.926639020442963
chr2L	2857000	2886000	-0.926639020442963	-0.506260991096497
chr2L	2886000	2969000	-0.506260991096497	-0.146469995379448
chr2L	2998000	3029000	-0.0407040007412434	0.00732900016009808
chr2L	3056000	3087000	0.142974004149437	0.0422279983758926
chr2L	3087000	3114000	0.0422279983758926	0.0824299976229668
chr2L	3114000	3143000	0.0824299976229668	-0.339082986116409
chr2L	3182000	3209000	-0.420832991600037	0.153070002794266
chr2L	3214000	3259000	0.0683699995279312	0.107401996850967
chr2L	3264000	3373000	0.0994599983096123	-0.325776010751724
chr2L	3373000	3376000	-0.325776010751724	-0.285632014274597
chr2L	3376000	3447000	-0.285632014274597	-0.276582002639771
chr2L	3447000	3474000	-0.276582002639771	-0.35393300652504
chr2L	3474000	3533000	-0.35393300652504	-0.62430602312088
chr2L	3533000	3625000	-0.62430602312088	-0.246668994426727
chr2L	3632000	3650000	-0.238566994667053	-0.0675539970397949
chr2L	3657000	3766000	-0.190534994006157	-0.112548001110554
chr2L	3766000	3787000	-0.112548001110554	-0.432027012109756
chr2L	3816000	3861000	-0.303099006414413	-0.142789006233215
chr2L	3890000	4019000	-0.738361001014709	-0.304165989160538
chr2L	4019000	4067000	-0.304165989160538	0.356346994638443
chr2L	4067000	4182000	0.356346994638443	-0.483065009117126
chr2L	4182000	4227000	-0.483065009117126	-0.448231995105743
chr2L	4227000	4338000	-0.448231995105743	-0.376051992177963
chr2L	4338000	4377000	-0.376051992177963	-0.244242995977402
chr2L	4377000	4409000	-0.244242995977402	-0.00256299995817244
chr2L	4409000	4441000	-0.00256299995817244	-0.309168010950089
chr2L	4461000	4537000	-0.463456004858017	-0.184805005788803
chr2L	4545000	4615000	-0.210559993982315	0.00379300001077354
chr2L	4615000	4664000	0.00379300001077354	-0.211429998278618
chr2L	4672000	4794000	-0.292998999357224	-0.645195007324219
chr2L	4811000	4853000	-0.63427597284317	-0.153467997908592
chr2L	4853000	4888000	-0.153467997908592	-0.166002005338669
chr2L	4888000	4917000	-0.166002005338669	0.131687000393867
chr2L	4968000	5010000	-0.0879269987344742	-0.44480299949646
chr2L	5010000	5055000	-0.44480299949646	-0.172520995140076
chr2L	5055000	5093000	-0.172520995140076	-0.0594270005822182
chr2L	5106000	5171000	0.125222995877266	0.470696985721588
chr2L	5217000	5271000	0.0874919965863228	-0.312476009130478
chr2L	5271000	5317000	-0.312476009130478	-0.100316002964973
chr2L	5326000	5365000	-0.448065012693405	-0.150946006178856
chr2L	5365000	5515000	-0.150946006178856	-0.72597998380661
chr2L	5515000	5546000	-0.72597998380661	-0.515506982803345
chr2L	5546000	5709000	-0.515506982803345	-0.730449020862579
chr2L	5709000	5820000	-0.730449020862579	-0.0281460005789995
chr2L	5900000	5943000	-0.238149002194405	-0.10402400046587
chr2L	5998000	6046000	-0.0602289997041225	-0.0934140011668205
chr2L	6046000	6070000	-0.0934140011668205	-0.111322999000549
chr2L	6070000	6101000	-0.111322999000549	-0.602702975273132
chr2L	6101000	6316000	-0.602702975273132	-0.629917025566101
chr2L	6316000	6344000	-0.629917025566101	-0.268943011760712
chr2L	6357000	6434000	-0.391467988491058	0.398319005966187
chr2L	6441000	6455000	0.443760007619858	0.0169949997216463
chr2L	6498000	6527000	-0.297178000211716	-0.138689994812012
