chrom	start	end	ins1	ins2
chr2L	20000	66000	-0.112256996333599	-0.195291996002197
chr2L	74000	108000	-0.159354001283646	0.15234899520874
chr2L	108000	142000	0.15234899520874	0.107901997864246
chr2L	207000	249000	0.692345023155212	-0.257283985614777
chr2L	249000	300000	-0.257283985614777	-0.137935996055603
chr2L	414000	452000	-0.0918689966201782	0.204440996050835
chr2L	489000	541000	-0.308288991451263	-0.183261007070541
chr2L	541000	589000	-0.183261007070541	-0.0512959994375706
chr2L	589000	605000	-0.0512959994375706	-0.439680993556976
chr2L	605000	685000	-0.439680993556976	0.455814987421036
chr2L	699000	804000	0.286051988601685	-0.30316099524498
chr2L	804000	851000	-0.30316099524498	0.00118100002873689
chr2L	871000	977000	-0.513487994670868	0.0200869999825954
chr2L	1009000	1048000	0.170162007212639	-0.207868993282318
chr2L	1048000	1081000	-0.207868993282318	-0.128374993801117
chr2L	1081000	1110000	-0.128374993801117	0.202463001012802
chr2L	1116000	1141000	0.215167000889778	-0.236992001533508
chr2L	1141000	1196000	-0.236992001533508	-0.371392011642456
chr2L	1196000	1217000	-0.371392011642456	-0.0207330007106066
chr2L	1229000	1371000	-0.0944570004940033	-0.402011007070541
chr2L	1371000	1486000	-0.402011007070541	-0.268366008996964
chr2L	1486000	1615000	-0.268366008996964	-0.291877001523972
chr2L	1615000	1684000	-0.291877001523972	0.355937004089355
chr2L	1689000	1709000	0.234068006277084	0.0364199988543987
chr2L	1709000	1761000	0.0364199988543987	-0.782279014587402
chr2L	1776000	1803000	-0.285441994667053	-0.131643995642662
chr2L	1816000	1864000	-0.163642004132271	-0.254265010356903
chr2L	1864000	1884000	-0.254265010356903	0.149142995476723
chr2L	1884000	1899000	0.149142995476723	0.102456003427505
chr2L	1900001	1972000	0.104542002081871	-0.266326993703842
chr2L	1987000	2054000	-0.0715330019593239	-0.645906984806061
chr2L	2054000	2104000	-0.645906984806061	0.344186991453171
chr2L	2247000	2290000	-0.536328017711639	0.0072949999012053
chr2L	2317000	2356000	-0.367920011281967	-0.389394998550415
chr2L	2356000	2376000	-0.389394998550415	-0.270906001329422
chr2L	2376000	2414000	-0.270906001329422	-0.154644995927811
chr2L	2414000	2500000	-0.154644995927811	-0.704931020736694
chr2L	2500000	2723000	-0.704931020736694	-0.622274994850159
chr2L	2770000	2803000	-0.0627499967813492	0.00320599996484816
chr2L	2803000	2835000	0.00320599996484816	0.0481170006096363
chr2L	2835000	2857000	0.0481170006096363	-0.884229004383087
chr2L	2857000	2886000	-0.884229004383087	-0.582140982151031
chr2L	2886000	2956000	-0.582140982151031	-0.122942999005318
chr2L	2956000	2999000	-0.122942999005318	0.00634100008755922
chr2L	2999000	3029000	0.00634100008755922	0.0578689984977245
chr2L	3057000	3087000	0.154229998588562	0.00325999991036952
chr2L	3087000	3111000	0.00325999991036952	0.104079999029636
