chrom	start	end	ins1	ins2
chr2L	20000	64000	-0.112256996333599	-0.151255995035172
chr2L	64000	108000	-0.151255995035172	0.15234899520874
chr2L	108000	142000	0.15234899520874	0.107901997864246
chr2L	207000	249000	0.692345023155212	-0.257283985614777
chr2L	249000	300000	-0.257283985614777	-0.137935996055603
chr2L	414000	451000	-0.0918689966201782	0.20634500682354
chr2L	451000	472000	0.20634500682354	-0.101297996938229
chr2L	489000	542000	-0.308288991451263	-0.166387006640434
chr2L	542000	589000	-0.166387006640434	-0.0512959994375706
chr2L	589000	605000	-0.0512959994375706	-0.439680993556976
chr2L	605000	685000	-0.439680993556976	0.455814987421036
chr2L	699000	741000	0.286051988601685	-0.257048010826111
chr2L	741000	804000	-0.257048010826111	-0.30316099524498
chr2L	804000	851000	-0.30316099524498	0.00118100002873689
chr2L	887000	975000	-0.393770009279251	0.0205620005726814
chr2L	1009000	1048000	0.170162007212639	-0.207868993282318
chr2L	1048000	1078000	-0.207868993282318	-0.0980610027909279
chr2L	1078000	1116000	-0.0980610027909279	0.215167000889778
chr2L	1141000	1187000	-0.236992001533508	-0.480170011520386
chr2L	1187000	1215000	-0.480170011520386	0.00893899984657764
chr2L	1229000	1491000	-0.0944570004940033	-0.237020999193192
chr2L	1491000	1615000	-0.237020999193192	-0.291877001523972
chr2L	1615000	1642000	-0.291877001523972	0.124256998300552
chr2L	1640001	1684000	0.151961997151375	0.355937004089355
chr2L	1689000	1709000	0.234068006277084	0.0364199988543987
chr2L	1732000	1761000	-0.231334000825882	-0.782279014587402
chr2L	1772000	1803000	-0.626940011978149	-0.131643995642662
chr2L	1811000	1864000	-0.152722999453545	-0.254265010356903
chr2L	1868000	1897000	-0.182337999343872	0.116158001124859
chr2L	1897000	1972000	0.116158001124859	-0.266326993703842
chr2L	1987000	2053000	-0.0715330019593239	-0.63689798116684
chr2L	2053000	2104000	-0.63689798116684	0.344186991453171
chr2L	2247000	2296000	-0.536328017711639	0.0310059990733862
chr2L	2316000	2355000	-0.364032000303268	-0.379999995231628
chr2L	2355000	2376000	-0.379999995231628	-0.270906001329422
chr2L	2376000	2414000	-0.270906001329422	-0.154644995927811
chr2L	2414000	2502000	-0.154644995927811	-0.688520014286041
chr2L	2502000	2596000	-0.688520014286041	-0.407222986221313
chr2L	2596000	2723000	-0.407222986221313	-0.622274994850159
chr2L	2774000	2803000	0.000594999990426004	0.00320599996484816
chr2L	2803000	2857000	0.00320599996484816	-0.884229004383087
chr2L	2857000	2886000	-0.884229004383087	-0.582140982151031
chr2L	2886000	2969000	-0.582140982151031	-0.0997750014066696
chr2L	2998000	3029000	0.0123939998447895	0.0578689984977245
chr2L	3056000	3087000	0.160690993070602	0.00325999991036952
chr2L	3087000	3114000	0.00325999991036952	0.174118995666504
chr2L	3114000	3143000	0.174118995666504	-0.325764000415802
chr2L	3182000	3209000	-0.443830013275146	0.0704850032925606
chr2L	3214000	3259000	0.0537550002336502	0.0477069988846779
chr2L	3264000	3373000	0.0154240000993013	-0.282063007354736
chr2L	3373000	3376000	-0.282063007354736	-0.236063003540039
chr2L	3376000	3447000	-0.236063003540039	-0.285786986351013
chr2L	3447000	3474000	-0.285786986351013	-0.36167699098587
chr2L	3474000	3533000	-0.36167699098587	-0.644656002521515
chr2L	3533000	3625000	-0.644656002521515	-0.24787400662899
chr2L	3632000	3650000	-0.287878006696701	-0.0604160018265247
chr2L	3657000	3766000	-0.228459998965263	-0.149858996272087
chr2L	3766000	3787000	-0.149858996272087	-0.359629988670349
chr2L	3816000	3861000	-0.306892991065979	-0.136634007096291
chr2L	3890000	4019000	-0.861294984817505	-0.223004996776581
chr2L	4019000	4067000	-0.223004996776581	0.717773973941803
chr2L	4067000	4182000	0.717773973941803	-0.125872001051903
chr2L	4182000	4227000	-0.125872001051903	-0.411489993333817
chr2L	4227000	4338000	-0.411489993333817	-0.35215100646019
chr2L	4338000	4377000	-0.35215100646019	-0.228535994887352
chr2L	4377000	4409000	-0.228535994887352	-0.0333539992570877
chr2L	4409000	4441000	-0.0333539992570877	-0.276113003492355
chr2L	4461000	4537000	-0.310476988554001	-0.231466993689537
chr2L	4545000	4615000	-0.259463012218475	-0.022274000570178
chr2L	4615000	4664000	-0.022274000570178	-0.146602004766464
chr2L	4672000	4794000	-0.239733994007111	-0.649264991283417
chr2L	4811000	4853000	-0.590220987796783	-0.0307390000671148
chr2L	4853000	4888000	-0.0307390000671148	-0.162765994668007
chr2L	4888000	4917000	-0.162765994668007	0.141799002885818
chr2L	4968000	5010000	-0.0246050003916025	-1.01408898830414
