chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16330000	16335000	chr2L	16330000	16335000	6.83236980438232
chr2L	16335000	16340000	chr2L	16330000	16335000	18.3532981872559
chr2L	16340000	16345000	chr2L	16330000	16335000	28.8472213745117
chr2L	16345000	16350000	chr2L	16330000	16335000	36.1210670471191
chr2L	16350000	16355000	chr2L	16330000	16335000	-12.0318183898926
chr2L	16355000	16360000	chr2L	16330000	16335000	-14.3852462768555
chr2L	16360000	16365000	chr2L	16330000	16335000	-21.570369720459
chr2L	16365000	16370000	chr2L	16330000	16335000	-23.8741931915283
chr2L	16370000	16375000	chr2L	16330000	16335000	-28.2716674804688
chr2L	16375000	16380000	chr2L	16330000	16335000	-29.7527770996094
chr2L	16380000	16385000	chr2L	16330000	16335000	-29.7631568908691
chr2L	16385000	16390000	chr2L	16330000	16335000	-34.7750015258789
chr2L	16390000	16395000	chr2L	16330000	16335000	-36.0823516845703
chr2L	16395000	16400000	chr2L	16330000	16335000	-34.9352951049805
chr2L	16400000	16405000	chr2L	16330000	16335000	-29.350980758667
chr2L	16405000	16410000	chr2L	16330000	16335000	-23.5783786773682
chr2L	16410000	16415000	chr2L	16330000	16335000	-21.0827579498291
chr2L	16415000	16420000	chr2L	16330000	16335000	-27.5057144165039
chr2L	16420000	16425000	chr2L	16330000	16335000	-39.9812507629395
chr2L	16425000	16430000	chr2L	16330000	16335000	-52.1470603942871
chr2L	16430000	16435000	chr2L	16330000	16335000	-49.6636352539062
chr2L	16435000	16440000	chr2L	16330000	16335000	-39.9857139587402
chr2L	16440000	16445000	chr2L	16330000	16335000	-25.8566665649414
chr2L	16445000	16450000	chr2L	16330000	16335000	-17.4490203857422
chr2L	16450000	16455000	chr2L	16330000	16335000	-14.6814813613892
chr2L	16455000	16460000	chr2L	16330000	16335000	-14.8857145309448
chr2L	16460000	16465000	chr2L	16330000	16335000	-11.6189193725586
chr2L	16465000	16470000	chr2L	16330000	16335000	3.24666666984558
chr2L	16470000	16475000	chr2L	16330000	16335000	13.7857141494751
chr2L	16475000	16480000	chr2L	16330000	16335000	15.1131582260132
chr2L	16480000	16485000	chr2L	16330000	16335000	21.296667098999
chr2L	16485000	16490000	chr2L	16330000	16335000	28.5562496185303
chr2L	16490000	16495000	chr2L	16330000	16335000	29.8173904418945
chr2L	16495000	16500000	chr2L	16330000	16335000	30.7217388153076
chr2L	16500000	16505000	chr2L	16330000	16335000	23.9799995422363
chr2L	16505000	16510000	chr2L	16330000	16335000	10.8222217559814
chr2L	16510000	16515000	chr2L	16330000	16335000	5.36428546905518
chr2L	16515000	16520000	chr2L	16330000	16335000	-20.8500003814697
chr2L	16520000	16525000	chr2L	16330000	16335000	-20.9833335876465
chr2L	16525000	16530000	chr2L	16330000	16335000	-22.9043483734131
chr2L	16530000	16535000	chr2L	16330000	16335000	-20.4857139587402
chr2L	16535000	16540000	chr2L	16330000	16335000	-16.5499992370605
chr2L	16540000	16545000	chr2L	16330000	16335000	-22.2000007629395
chr2L	16545000	16550000	chr2L	16330000	16335000	-26.2999992370605
chr2L	16550000	16555000	chr2L	16330000	16335000	-26.6499996185303
chr2L	16555000	16560000	chr2L	16330000	16335000	-23.8600006103516
chr2L	16560000	16565000	chr2L	16330000	16335000	-20.9333324432373
chr2L	16565000	16570000	chr2L	16330000	16335000	-22.3571434020996
chr2L	16570000	16575000	chr2L	16330000	16335000	-21.1166667938232
chr2L	16575000	16580000	chr2L	16330000	16335000	-21.3999996185303
chr2L	16580000	16585000	chr2L	16330000	16335000	-20.5666675567627
chr2L	16585000	16590000	chr2L	16330000	16335000	-25.6499996185303
chr2L	16590000	16595000	chr2L	16330000	16335000	-28.3333320617676
chr2L	16595000	16600000	chr2L	16330000	16335000	-29.5666656494141
chr2L	16600000	16605000	chr2L	16330000	16335000	-34.8428573608398
chr2L	16605000	16610000	chr2L	16330000	16335000	-35.5666656494141
chr2L	16610000	16615000	chr2L	16330000	16335000	-31.5399990081787
chr2L	16615000	16620000	chr2L	16330000	16335000	-27.2999992370605
chr2L	16330000	16335000	chr2L	16335000	16340000	18.3532981872559
chr2L	16335000	16340000	chr2L	16335000	16340000	2.46233773231506
chr2L	16340000	16345000	chr2L	16335000	16340000	17.216646194458
chr2L	16345000	16350000	chr2L	16335000	16340000	27.7937259674072
chr2L	16350000	16355000	chr2L	16335000	16340000	-29.0945053100586
chr2L	16355000	16360000	chr2L	16335000	16340000	-21.9587783813477
chr2L	16360000	16365000	chr2L	16335000	16340000	-13.8100004196167
chr2L	16365000	16370000	chr2L	16335000	16340000	-19.2098903656006
chr2L	16370000	16375000	chr2L	16335000	16340000	-18.3964290618896
chr2L	16375000	16380000	chr2L	16335000	16340000	-27.0480003356934
chr2L	16380000	16385000	chr2L	16335000	16340000	-28.1439990997314
chr2L	16385000	16390000	chr2L	16335000	16340000	-31.21071434021
chr2L	16390000	16395000	chr2L	16335000	16340000	-26.5699996948242
chr2L	16395000	16400000	chr2L	16335000	16340000	-24.6217384338379
chr2L	16400000	16405000	chr2L	16335000	16340000	-20.03125
chr2L	16405000	16410000	chr2L	16335000	16340000	-18.2153148651123
chr2L	16410000	16415000	chr2L	16335000	16340000	-15.4179487228394
chr2L	16415000	16420000	chr2L	16335000	16340000	-26.2000007629395
chr2L	16420000	16425000	chr2L	16335000	16340000	-40.3666648864746
chr2L	16425000	16430000	chr2L	16335000	16340000	-40.8851852416992
chr2L	16430000	16435000	chr2L	16335000	16340000	-35.5352935791016
chr2L	16435000	16440000	chr2L	16335000	16340000	-25.9599990844727
chr2L	16440000	16445000	chr2L	16335000	16340000	-23.091667175293
chr2L	16445000	16450000	chr2L	16335000	16340000	-16.5507469177246
chr2L	16450000	16455000	chr2L	16335000	16340000	-13.8732147216797
chr2L	16455000	16460000	chr2L	16335000	16340000	-14.0720930099487
chr2L	16460000	16465000	chr2L	16335000	16340000	5.921875
chr2L	16465000	16470000	chr2L	16335000	16340000	11.468656539917
chr2L	16470000	16475000	chr2L	16335000	16340000	13.8680000305176
chr2L	16475000	16480000	chr2L	16335000	16340000	17.08571434021
chr2L	16480000	16485000	chr2L	16335000	16340000	19.6900005340576
chr2L	16485000	16490000	chr2L	16335000	16340000	27.6216220855713
chr2L	16490000	16495000	chr2L	16335000	16340000	30.6363639831543
chr2L	16495000	16500000	chr2L	16335000	16340000	32.1162796020508
chr2L	16500000	16505000	chr2L	16335000	16340000	24.2857151031494
chr2L	16505000	16510000	chr2L	16335000	16340000	12.5974998474121
chr2L	16510000	16515000	chr2L	16335000	16340000	8
chr2L	16515000	16520000	chr2L	16335000	16340000	-20.5
chr2L	16520000	16525000	chr2L	16335000	16340000	-21.2785720825195
chr2L	16525000	16530000	chr2L	16335000	16340000	-21.9812507629395
chr2L	16530000	16535000	chr2L	16335000	16340000	-22.2199993133545
chr2L	16535000	16540000	chr2L	16335000	16340000	-19.1000003814697
chr2L	16540000	16545000	chr2L	16335000	16340000	-21.6333332061768
chr2L	16545000	16550000	chr2L	16335000	16340000	-23.3250007629395
chr2L	16550000	16555000	chr2L	16335000	16340000	-20.5200004577637
chr2L	16555000	16560000	chr2L	16335000	16340000	-19.3999996185303
chr2L	16560000	16565000	chr2L	16335000	16340000	-18.4166660308838
chr2L	16565000	16570000	chr2L	16335000	16340000	-17.2181816101074
chr2L	16570000	16575000	chr2L	16335000	16340000	-17.1866664886475
chr2L	16575000	16580000	chr2L	16335000	16340000	0
chr2L	16580000	16585000	chr2L	16335000	16340000	-19.7999992370605
chr2L	16585000	16590000	chr2L	16335000	16340000	-28.4750003814697
chr2L	16590000	16595000	chr2L	16335000	16340000	-30.5
chr2L	16595000	16600000	chr2L	16335000	16340000	-30.2428569793701
chr2L	16600000	16605000	chr2L	16335000	16340000	-31.7999992370605
chr2L	16605000	16610000	chr2L	16335000	16340000	-35.2999992370605
chr2L	16610000	16615000	chr2L	16335000	16340000	-30.3400001525879
chr2L	16615000	16620000	chr2L	16335000	16340000	-26.8999996185303
chr2L	16330000	16335000	chr2L	16340000	16345000	28.8472213745117
chr2L	16335000	16340000	chr2L	16340000	16345000	17.216646194458
chr2L	16340000	16345000	chr2L	16340000	16345000	8.62092304229736
chr2L	16345000	16350000	chr2L	16340000	16345000	17.67214012146
chr2L	16350000	16355000	chr2L	16340000	16345000	-15.2648649215698
chr2L	16355000	16360000	chr2L	16340000	16345000	-19.2238101959229
chr2L	16360000	16365000	chr2L	16340000	16345000	-23.2528305053711
chr2L	16365000	16370000	chr2L	16340000	16345000	-31.9333324432373
chr2L	16370000	16375000	chr2L	16340000	16345000	-24.9585113525391
chr2L	16375000	16380000	chr2L	16340000	16345000	-33.8810806274414
chr2L	16380000	16385000	chr2L	16340000	16345000	-31.972131729126
chr2L	16385000	16390000	chr2L	16340000	16345000	-35.8423728942871
chr2L	16390000	16395000	chr2L	16340000	16345000	-31.0508193969727
chr2L	16395000	16400000	chr2L	16340000	16345000	-24.3080005645752
chr2L	16400000	16405000	chr2L	16340000	16345000	-27.6617279052734
chr2L	16405000	16410000	chr2L	16340000	16345000	-30.5104351043701
chr2L	16410000	16415000	chr2L	16340000	16345000	-19.9706897735596
chr2L	16415000	16420000	chr2L	16340000	16345000	-23.3790702819824
chr2L	16420000	16425000	chr2L	16340000	16345000	-31.8400001525879
chr2L	16425000	16430000	chr2L	16340000	16345000	-35.1066665649414
chr2L	16430000	16435000	chr2L	16340000	16345000	-31.1545448303223
chr2L	16435000	16440000	chr2L	16340000	16345000	-21.082857131958
chr2L	16440000	16445000	chr2L	16340000	16345000	-20.3372554779053
chr2L	16445000	16450000	chr2L	16340000	16345000	-20.4714279174805
chr2L	16450000	16455000	chr2L	16340000	16345000	-25.656364440918
chr2L	16455000	16460000	chr2L	16340000	16345000	-17.3466663360596
chr2L	16460000	16465000	chr2L	16340000	16345000	0.863636374473572
