seqnames	start	end	width	strand	Conc	Conc_WD_SUMOnub	Conc_WD_NOnub	Fold	p.value	FDR	WD_SUMOnub1	WD_SUMOnub2	WD_NOnub1	WD_NOnub2
	seqnames	start	end	width	strand	Conc	Conc_WD_SUMOnub	Conc_WD_NOnub	Fold	p.value	FDR	WD_SUMOnub1	WD_SUMOnub2	WD_NOnub1	WD_NOnub2
lncRNA:CR46075_FBgn0267744_notChanged	chr2R	6499772	6623792	124021	*	6.84373856458832	7.83083246161262	1.03272120270543	6.40716726786484	9.79547400570208e-11	4.96797852145212e-08	233.96	221.39	0	4.09
y_FBgn0004034_Up	chrX	354509	363245	8737	*	6.85948181935034	0	7.85948181935034	-9.99406430726578	1.59999308259327e-10	4.96797852145212e-08	0	0	306.54	157.94
E(spl)m5-HLH_FBgn0002631_notChanged	chr3R	26027735	26065011	37277	*	6.53853309588332	0	7.53853309588332	-9.65475626623515	2.34173100273528e-09	4.84738317566203e-07	0	0	281.82	90.02
Cdc5_FBgn0265574_notChanged	chr3L	359383	367681	8299	*	6.40724649144767	7.40724649144767	0	9.23159510108508	7.14633699885934e-09	1.10946881907291e-06	158.36	181.14	0	0
CCHa2_FBgn0038147_notChanged	chr3R	13393197	13397197	4001	*	6.36551116273816	7.36551116273816	0	9.18758561678614	9.72654436610727e-09	1.20803681027052e-06	183.9	145.92	0	0
Spn43Aa_FBgn0024294_Down	chr2R	7145692	7225378	79687	*	6.70946233078677	0	7.70946233078677	-16.8521043702422	1.58746365872496e-06	0.000142647934930666	0	0	418.61	0
REPTOR_FBgn0039209_notChanged	chr3R	24580864	24637165	56302	*	6.69805756751452	0	7.69805756751452	-16.8420798238139	1.60794773673858e-06	0.000142647934930666	0	0	415.31	0
wb_FBgn0261563_notChanged	chr2L	14261027	14368840	107814	*	6.23435506387508	0	7.23435506387508	-16.4750829141109	2.54560392183052e-06	0.000197602504432094	0	0	0	301.15
CG31871_FBgn0051871_notChanged	chr2L	10660081	10673487	13407	*	5.50728381729576	0	6.50728381729576	-8.50903693897766	4.37472001970773e-06	0.000275326968573116	0	0	156.57	25.37
