chrom	start	end	ins1	ins2
chr2L	20000	66000	-0.247038006782532	-0.14342699944973
chr2L	74000	108000	-0.250800013542175	0.138454005122185
chr2L	108000	142000	0.138454005122185	0.0807290002703667
chr2L	207000	249000	0.562263011932373	-0.299277991056442
chr2L	249000	300000	-0.299277991056442	-0.205344006419182
chr2L	414000	452000	-0.231142997741699	0.224983006715775
chr2L	489000	541000	-0.326557993888855	-0.2394710034132
chr2L	541000	589000	-0.2394710034132	0.00138499995227903
chr2L	589000	605000	0.00138499995227903	-0.484710991382599
chr2L	605000	685000	-0.484710991382599	0.42059001326561
chr2L	699000	804000	0.219747006893158	-0.374689996242523
chr2L	804000	851000	-0.374689996242523	-0.151313006877899
chr2L	871000	977000	-0.486041009426117	0.0629179999232292
chr2L	1009000	1048000	0.235198006033897	-0.161588996648788
chr2L	1048000	1081000	-0.161588996648788	-0.0822620019316673
chr2L	1081000	1110000	-0.0822620019316673	0.189514994621277
chr2L	1116000	1141000	0.171581998467445	-0.262594014406204
chr2L	1141000	1196000	-0.262594014406204	-0.490328013896942
chr2L	1196000	1217000	-0.490328013896942	0.0488560013473034
chr2L	1229000	1371000	-0.0258389990776777	-0.306885004043579
chr2L	1371000	1486000	-0.306885004043579	-0.294892996549606
chr2L	1486000	1615000	-0.294892996549606	-0.233481004834175
chr2L	1615000	1684000	-0.233481004834175	0.563317000865936
chr2L	1689000	1709000	0.363480001688004	0.0130810001865029
chr2L	1709000	1761000	0.0130810001865029	-0.60692298412323
chr2L	1776000	1803000	-0.237454995512962	0.0579750016331673
chr2L	1816000	1864000	0.112109996378422	-0.0990649983286858
chr2L	1864000	1884000	-0.0990649983286858	0.181004002690315
chr2L	1884000	1899000	0.181004002690315	0.083127997815609
chr2L	1900001	1972000	0.0990490019321442	-0.258368998765945
chr2L	1987000	2054000	-0.140163004398346	-0.559554994106293
chr2L	2054000	2104000	-0.559554994106293	0.374217987060547
chr2L	2247000	2290000	-0.453476995229721	0.0483499988913536
chr2L	2317000	2356000	-0.287537008523941	-0.429224997758865
chr2L	2356000	2376000	-0.429224997758865	-0.305485010147095
chr2L	2376000	2414000	-0.305485010147095	-0.139633998274803
chr2L	2414000	2500000	-0.139633998274803	-0.808583974838257
chr2L	2500000	2723000	-0.808583974838257	-0.586658000946045
chr2L	2770000	2803000	-0.053116001188755	0.069470003247261
chr2L	2803000	2835000	0.069470003247261	0.06173500046134
chr2L	2835000	2857000	0.06173500046134	-0.926639020442963
chr2L	2857000	2886000	-0.926639020442963	-0.506260991096497
chr2L	2886000	2956000	-0.506260991096497	-0.141166001558304
chr2L	2956000	2999000	-0.141166001558304	-0.0269740000367165
chr2L	2999000	3029000	-0.0269740000367165	0.00732900016009808
chr2L	3057000	3087000	0.143300995230675	0.0422279983758926
chr2L	3087000	3111000	0.0422279983758926	0.0978740006685257
chr2L	3111000	3143000	0.0978740006685257	-0.339082986116409
chr2L	3182000	3207000	-0.420832991600037	0.158344998955727
chr2L	3211000	3259000	0.136571004986763	0.107401996850967
chr2L	3264000	3356000	0.0994599983096123	-0.241666004061699
chr2L	3356000	3444000	-0.241666004061699	-0.326306998729706
chr2L	3444000	3474000	-0.326306998729706	-0.35393300652504
chr2L	3476000	3533000	-0.437254011631012	-0.62430602312088
chr2L	3533000	3619000	-0.62430602312088	-0.338640004396439
chr2L	3632000	3650000	-0.238566994667053	-0.0675539970397949
chr2L	3657000	3766000	-0.190534994006157	-0.112548001110554
chr2L	3766000	3787000	-0.112548001110554	-0.432027012109756
chr2L	3816000	3858000	-0.303099006414413	-0.179201006889343
chr2L	3858000	3890000	-0.179201006889343	-0.738361001014709
chr2L	3890000	4019000	-0.738361001014709	-0.304165989160538
chr2L	4019000	4069000	-0.304165989160538	0.373944997787476
chr2L	4069000	4184000	0.373944997787476	-0.403694003820419
chr2L	4184000	4232000	-0.403694003820419	-0.401868999004364
chr2L	4232000	4338000	-0.401868999004364	-0.376051992177963
chr2L	4345000	4381000	-0.388581991195679	-0.234696999192238
chr2L	4381000	4439000	-0.234696999192238	-0.261256992816925
chr2L	4465000	4539000	-0.42213699221611	-0.176661998033524
chr2L	4541000	4615000	-0.204074993729591	0.00379300001077354
chr2L	4615000	4668000	0.00379300001077354	-0.201178997755051
chr2L	4673000	4794000	-0.282528012990952	-0.645195007324219
chr2L	4811000	4888000	-0.63427597284317	-0.166002005338669
chr2L	4888000	4917000	-0.166002005338669	0.131687000393867
chr2L	4964000	5009000	-0.017985999584198	-0.441444993019104
chr2L	5009000	5042000	-0.441444993019104	-0.122642002999783
chr2L	5054000	5108000	-0.168834000825882	0.133128002285957
chr2L	5108000	5171000	0.133128002285957	0.470696985721588
chr2L	5224000	5270000	0.131778001785278	-0.300478994846344
chr2L	5270000	5314000	-0.300478994846344	-0.0909949988126755
chr2L	5326000	5365000	-0.448065012693405	-0.150946006178856
chr2L	5365000	5515000	-0.150946006178856	-0.72597998380661
chr2L	5515000	5546000	-0.72597998380661	-0.515506982803345
chr2L	5546000	5709000	-0.515506982803345	-0.730449020862579
chr2L	5709000	5819000	-0.730449020862579	-0.0620279982686043
chr2L	5819000	5821000	-0.0620279982686043	-0.0254369992762804
chr2L	5999000	6036000	-0.0546009987592697	-0.0917169973254204
chr2L	6047000	6070000	-0.0892390012741089	-0.111322999000549
chr2L	6070000	6101000	-0.111322999000549	-0.602702975273132
chr2L	6101000	6316000	-0.602702975273132	-0.629917025566101
chr2L	6316000	6344000	-0.629917025566101	-0.268943011760712
chr2L	6359000	6434000	-0.386007010936737	0.398319005966187
chr2L	6455000	6481000	0.0169949997216463	-0.533390998840332
chr2L	6500000	6527000	-0.309964001178741	-0.138689994812012
chr2L	6527000	6567000	-0.138689994812012	-0.448697000741959
chr2L	6567000	6611000	-0.448697000741959	-0.248152002692223
chr2L	6611000	6647000	-0.248152002692223	-0.164295002818108
chr2L	6647000	6681000	-0.164295002818108	-0.199546992778778
chr2L	6681000	6723000	-0.199546992778778	-0.443993985652924
chr2L	6738000	6779000	-0.437617987394333	-0.312209993600845
chr2L	6779000	6797000	-0.312209993600845	-0.237792000174522
chr2L	6797000	6846000	-0.237792000174522	-0.162331998348236
chr2L	6846000	6884000	-0.162331998348236	0.261694014072418
chr2L	6895000	6920000	-0.191144004464149	-0.25577899813652
chr2L	6920000	6948000	-0.25577899813652	-0.154987007379532
chr2L	6971000	7029000	-0.441466003656387	-0.267342001199722
chr2L	7072000	7204000	-0.279559999704361	-0.423424988985062
chr2L	7213000	7284000	-0.312099993228912	-0.281823009252548
chr2L	7354000	7388000	0.32557401061058	-0.238971993327141
chr2L	7388000	7426000	-0.238971993327141	-0.531917989253998
chr2L	7437000	7496000	-0.432482004165649	-0.436448991298676
chr2L	7496000	7534000	-0.436448991298676	-0.603974997997284
chr2L	7534000	7715000	-0.603974997997284	-0.161577001214027
chr2L	7716000	7730000	-0.141292005777359	-0.171414002776146
chr2L	7736000	7769000	-0.11404400318861	-0.367482006549835
chr2L	7769000	7810000	-0.367482006549835	-0.0113279996439815
chr2L	7810000	7829000	-0.0113279996439815	-0.672430992126465
chr2L	7829000	7866000	-0.672430992126465	-0.113826997578144
chr2L	7879000	8000000	-0.126922994852066	0.143294006586075
chr2L	8000000	8010000	0.143294006586075	0.165730997920036
chr2L	8017000	8031000	0.283766001462936	-0.142500996589661
chr2L	8031000	8084000	-0.142500996589661	-0.565171003341675
