chrom	-2000	2000	GeneID_FBID_notChanged
chr2L	22212376	22216376	Ir40a_FBgn0259683_Up
chr2L	21656735	21665698	Cul2_FBgn0032956_Up
chr2L	21655625	21660249	lncRNA:CR43144_FBgn0262620_Up
chr3L	8354296	8358296	Culd_FBgn0035880_Up
chr3L	7516997	7530013	ltl_FBgn0268063_Down
chrX	21040125	21046107	Mgstl_FBgn0025814_Down
chr3L	7358263	7362263	pst_FBgn0035770_Up
chrX	2794466	2798466	w_FBgn0003996_Up
chr3L	7648548	7761123	CG32373_FBgn0052373_Down
chr2R	5361253	5369357	lncRNA:CR42646_FBgn0261429_Up
chr3R	7264065	7272809	Syt4_FBgn0028400_Down
chr2L	4699485	4703485	Taf12L_FBgn0031623_Up
chr3R	16187564	16191564	Bin1_FBgn0024491_Up
chrX	15797162	15801162	CG32581_FBgn0052581_Down
chr3R	31380109	31393893	CG1607_FBgn0039844_Down
chr3L	8293327	8297327	CG7201_FBgn0035865_Down
chr3R	15484050	15495310	obe_FBgn0038344_Up
chr3R	7976428	7980428	CD98hc_FBgn0037533_Down
chr3L	17866740	17872573	CR43086_FBgn0262532_Up
chr2L	4881298	4887669	CG3008_FBgn0031643_Up
chrX	354509	363245	y_FBgn0004034_Up
chr2L	22306755	22370796	Marf1_FBgn0039972_Up
chr3L	9017246	9021246	Doc2_FBgn0035956_Down
chrX	15074220	15078220	Lsd-2_FBgn0030608_Down
chr3L	7156099	7160874	CG8620_FBgn0040837_Up
chr3L	17030080	17034080	Ilp8_FBgn0036690_Up
chr3R	29156122	29166966	rdog_FBgn0039644_Up
chr3L	9039375	9047042	Doc1_FBgn0028789_Down
chr2L	12655165	12688306	pdm2_FBgn0004394_Down
chr2R	24340861	24378473	bs_FBgn0004101_Down
chr3R	23680503	23685980	CG16710_FBgn0039101_Up
chrY	3020289	3026024	FDY_FBgn0265047_Up
chr2R	14358297	14362297	Arc1_FBgn0033926_Up
chr2R	9235512	9241831	Cyp4p2_FBgn0033395_Up
chrX	9569308	9573308	Cubn_FBgn0052702_Up
chr3L	21556226	21560226	CG7173_FBgn0037099_Down
chr3R	25738465	25742465	LpR2_FBgn0051092_Down
chr2L	21086751	21090751	ppk13_FBgn0053508_Up
chr2R	24367689	24371689	lncRNA:CR44811_FBgn0266046_Down
chrX	5688002	5695084	cv_FBgn0000394_Down
chr2R	7259269	7263269	CG1850_FBgn0033154_Up
chr3R	12373733	12378572	GstD5_FBgn0010041_Up
chrX	5427571	5434526	CG15784_FBgn0029766_Up
chr2L	20728282	20732282	CarT_FBgn0032879_Up
chr2L	550923	554923	Ets21C_FBgn0005660_Up
chr3L	895380	900772	CG34057_FBgn0054057_Up
chr2R	14359924	14364825	Arc2_FBgn0033928_Up
chr2L	10835511	10839511	Nos_FBgn0011676_Up
chr3R	29933978	29950207	Vps13B_FBgn0039727_Up
chrX	7886785	7890785	CG10932_FBgn0029969_Down
chr2R	14183204	14200368	CG30069_FBgn0050069_Down
chr2R	7823289	7829319	phr_FBgn0003082_Up
chr2L	9012068	9016068	Rcd-1r_FBgn0032089_Up
chr2R	23245893	23249893	RpL22-like_FBgn0034837_Up
chr2L	12717045	12768546	MRP_FBgn0032456_Up
chr3R	12646058	12654910	Dtg_FBgn0038071_Down
chr2R	18224795	18230595	lncRNA:CR45310_FBgn0266849_Down
chr2R	14805061	14809061	kn_FBgn0001319_Down
chrX	4410856	4487647	bi_FBgn0000179_Down
chr2L	17431161	17435161	Dif_FBgn0011274_Up
chr3L	11644033	11648033	CG6071_FBgn0036186_Up
chr3R	23682057	23688537	CG18754_FBgn0042106_Up
chr3L	10892743	10896743	asRNA:CR45171_FBgn0266681_Up
chrX	11088210	11094098	CG2076_FBgn0030263_Up
chr2R	11526210	11530210	en_FBgn0000577_Down
chr3L	3328063	3335181	CG14961_FBgn0035439_Up
chrX	16781434	16785434	if_FBgn0001250_Down
chr3L	2643368	2649192	CG1143_FBgn0035359_Up
chr3L	390633	394633	trh_FBgn0262139_Down
chr2R	3481439	3485439	lncRNA:CR46489_FBgn0287620_Up
chr2L	21084506	21088506	CG33509_FBgn0053509_Up
chr2R	13481229	13485229	arr_FBgn0000119_notChanged
chrX	474579	478579	ebo_FBgn0266572_Down
chr3L	9503328	9507328	path_FBgn0036007_Down
chr2L	1649258	1706682	chinmo_FBgn0086758_Up
chr2R	25030377	25042377	Nplp1_FBgn0035092_Up
