seqnames	start	end	width	strand	Conc	Conc_WD_SUMOnub	Conc_WD_NOnub	Fold	p.value	FDR	WD_SUMOnub1	WD_SUMOnub2	WD_SUMOnub3	WD_NOnub1	WD_NOnub2	WD_NOnub3
chr2R	16828048	16830968	2921	*	8.80519355801318	7.63514940780843	9.44265751932472	-1.79915111200487	6.49852758757401e-39	6.27757764959649e-36	196.44	184.29	215.67	640.52	776.87	670.2
chrX	9499784	9501581	1798	*	8.21541384241864	6.75708812510942	8.92566135420646	-2.13394943189474	3.22225175944603e-38	1.55634759981243e-35	96.1	127.42	100.97	442.23	520.92	495.71
chr3L	12579920	12583587	3668	*	8.31928682470807	7.19165758526741	8.94440093748945	-1.74288563059155	8.34653004754693e-38	2.68758267531011e-35	139.91	148.66	149.99	459.54	502.85	515.54
chr2R	13014184	13021157	6974	*	9.05325024002696	8.04501777629607	9.64094648898666	-1.58279596025559	1.45190276692851e-37	3.50634518213236e-35	231.77	273.35	287.23	802.62	755.79	836.75
chr2R	12956827	12961675	4849	*	9.22197577023172	8.14810040306183	9.8307460095202	-1.6872175681089	3.61014064414382e-37	6.97479172448586e-35	313.74	243.2	294.09	920.66	847.63	963.65
chr2R	13030638	13043029	12392	*	10.382897717415	9.41655278656803	10.9564651040061	-1.5370046111427	4.84983766122179e-37	7.80823863456708e-35	696.72	574.1	779.34	2017.57	1966.25	1977.54
chr2R	12990421	12997691	7271	*	9.72257979524679	8.71896882886865	10.3087439457717	-1.58779394565834	5.82426045389832e-37	8.03747942637968e-35	432.45	356.24	475.44	1292.07	1263.16	1249.84
chr2R	15108961	15110133	1173	*	8.11537053985473	6.91162243448012	8.76232032584631	-1.84275682905361	2.99416141817107e-32	3.61544991244157e-30	122.95	106.87	131.36	473.7	418.54	410.45
chr3L	392202	394051	1850	*	7.01077503489993	4.99141418590959	7.82087470400917	-2.78285703832588	5.68789554361629e-31	6.10500788348148e-29	33.92	30.14	31.37	223.48	266.48	188.37
chr3R	30276554	30278114	1561	*	7.95384730056268	6.73611107317789	8.60465151363781	-1.85690869725825	1.45583061459165e-30	1.40633237369553e-28	101.75	94.54	123.52	382.43	408	377.4
chr2L	5304913	5306898	1986	*	8.3804672003476	7.1804290584685	9.02638667696616	-1.84010808431198	2.22742058955997e-30	1.95608026319539e-28	142.74	119.89	172.53	520.92	523.93	519.5
chr2R	12984141	12990159	6019	*	9.1911634878771	8.18302842606138	9.77882751393904	-1.60012030997537	3.19287419363382e-30	2.57026372587523e-28	343.41	243.2	285.27	886.03	876.23	873.11
chrX	12742178	12743189	1012	*	7.43797527395672	5.90653875154677	8.16399317208038	-2.22670891233696	4.88171725892075e-30	3.62749144009034e-28	56.53	54.81	68.62	291.15	316.17	253.14
chrX	2137237	2141892	4656	*	8.60302331558647	7.55877246261335	9.20243953775452	-1.63109122645202	2.49058948739926e-29	1.71850674630549e-27	171	196.62	198.02	605.9	516.4	645.08
chrX	19352568	19354271	1704	*	7.23905700775244	5.85938130017596	7.93121173693664	-2.0548758654678	2.85471339867996e-29	1.8384354287499e-27	56.53	56.86	60.78	231.34	248.42	252.48
chr3R	14481392	14483056	1665	*	8.18685923566811	7.0138370782014	8.82517283814477	-1.80626254646319	3.56584434481647e-29	2.15287852318294e-27	138.5	110.98	138.22	443.8	499.84	417.06
chr2R	11709818	11711414	1597	*	7.4711354682566	6.04923218454278	8.17315496879293	-2.08678754972182	1.82373698462752e-27	1.03631172185305e-25	56.53	63.71	78.42	321.05	278.53	266.36
chr2R	12882919	12886014	3096	*	8.14338208278296	7.15421517516514	8.72471540034278	-1.57656106855182	2.39517275775298e-27	1.2854093799941e-25	156.87	125.37	145.08	426.49	417.04	425.65
chrX	5697451	5698897	1447	*	7.04871844082723	5.45849811682819	7.78673330413157	-2.2772472544715	6.1648042010532e-27	3.13431624116705e-25	42.4	49.33	40.19	212.46	248.42	201.59
chr2L	376304	378565	2262	*	7.33849350591854	6.04585861776868	8.00914822157068	-1.92560017710786	2.60381618105793e-26	1.25764321545098e-24	57.94	72.62	67.64	243.93	272.51	256.45
chr2L	7465631	7466805	1175	*	7.87082627119171	6.38845391168093	8.58636843388102	-2.18199742928425	1.50015335063276e-25	6.90070541291071e-24	94.69	66.45	90.19	388.72	447.15	317.25
chr3R	6892778	6895686	2909	*	8.07523236119136	7.05352478511516	8.66735873924642	-1.62404465804508	4.77252440773423e-25	2.09557208085058e-23	156.87	117.15	124.5	395.02	404.99	419.7
chr3R	6998901	7001369	2469	*	8.24362058874949	7.12360612454146	8.86646736162963	-1.73341438286896	9.60847083939794e-25	4.03401997076709e-23	134.26	116.46	167.63	498.89	442.63	458.69
chrX	3024829	3026513	1685	*	6.98911236417043	5.30443293682221	7.74522016752528	-2.36401841133146	1.02384283117012e-24	4.03401997076709e-23	31.09	47.27	40.19	198.3	248.42	196.96
chr2L	19362678	19364090	1413	*	8.54369508668671	7.10323821888341	9.2499377512137	-2.1141669932872	1.04400102763123e-24	4.03401997076709e-23	128.6	126.05	157.83	653.11	722.67	450.76
chr3R	8333685	8335287	1603	*	6.92282382838477	5.14044154193644	7.69622694934232	-2.5358356199587	4.55130922406105e-24	1.69098642709345e-22	36.74	23.98	45.09	223.48	201.74	196.96
chr2R	16730905	16732694	1790	*	8.41917983945317	6.99120874954618	9.12258783796893	-2.10035176478963	5.54485962666051e-24	1.98382755531632e-22	134.26	128.79	118.62	549.25	704.6	418.38
chr3R	12127867	12128964	1098	*	8.41793466665489	7.06437626509128	9.10380696808117	-2.01696394770264	1.93605861174051e-23	6.67940221050477e-22	145.56	115.78	140.18	593.31	642.87	414.41
chr3R	6848637	6850015	1379	*	6.8520039901118	5.30461250917077	7.58133652497576	-2.22526567628637	3.01763389015956e-23	1.00518425444625e-21	38.16	43.16	37.25	179.41	221.32	173.83
chr2R	11527936	11530737	2802	*	8.08228631524186	6.89936360957811	8.72340845841621	-1.81947295567722	3.49549196373184e-23	1.12554841232165e-21	121.54	92.49	144.1	429.64	403.49	434.9
chr2L	2804217	2805566	1350	*	7.9949119268864	6.53914142673479	8.70459046454895	-2.15766577521557	5.64672480826511e-23	1.75959231122067e-21	115.88	65.08	98.03	413.9	468.23	369.47
chr3L	14476747	14477990	1244	*	7.70641588915854	6.33708345079464	8.39609943843068	-2.05497582712153	6.15087175212521e-23	1.8567944101728e-21	91.86	57.55	93.13	355.67	335.74	319.24
chrX	1134408	1135638	1231	*	7.6880724592493	6.18572363408417	8.4079320704082	-2.17405368099015	6.68998478756481e-23	1.95834100145079e-21	65.01	87.69	65.68	270.69	412.52	335.76
chr3L	12607671	12610068	2398	*	7.96650144540786	6.97344800978901	8.54914097192231	-1.57092061639764	1.4002180952863e-22	3.97826670601931e-21	131.43	117.15	128.42	332.07	421.55	370.13
chr3R	16934055	16934786	732	*	5.99519203185956	3.22176715686537	6.88563347043826	-3.4810513291673	1.46252957490158e-22	4.01134135119441e-21	5.65	9.59	12.74	105.44	130.98	118.31
chr3R	16501547	16503549	2003	*	7.64589233409837	6.10074760295024	8.37476078073303	-2.24485337836995	1.4949098203209e-22	4.01134135119441e-21	79.14	63.03	63.72	313.18	421.55	261.07
chr2R	15010534	15012302	1769	*	7.97991399459801	6.68450940036514	8.65127812632686	-1.94561421050183	3.60961116962691e-22	9.42401186448539e-21	98.93	82.21	127.44	453.25	401.98	350.96
chr2R	21579228	21580205	978	*	7.03312110952335	5.47336810750236	7.76499150861821	-2.22522108552156	3.78707594487759e-22	9.62714569145199e-21	35.33	47.96	50	210.89	255.94	185.73
chr2L	5287151	5289599	2449	*	8.75831083232031	7.75185400023098	9.34541920460402	-1.57279416068842	5.50815035849547e-22	1.36432647341195e-20	166.76	224.02	255.86	645.25	614.27	692.01
chr2L	3834719	3836835	2117	*	7.29871018195021	6.09853853405618	7.9446667938344	-1.84871685709512	2.56631013580297e-21	6.19763897796418e-20	81.97	65.77	57.84	221.9	257.45	259.75
chrX	12743498	12744842	1345	*	6.95449974748856	5.43545995861826	7.67791146077788	-2.1813757082732	3.29392938113716e-21	7.76081898092317e-20	38.16	53.44	38.23	176.26	231.86	206.21
chr2R	17822071	17824234	2164	*	8.42729475823039	7.1196127336348	9.10178305632686	-1.96380580504448	4.57567800052004e-21	1.05240594011961e-19	158.28	108.93	149.99	593.31	629.32	425.65
chr2L	20428635	20429575	941	*	7.29445286343401	5.78232531612515	8.01639958545256	-2.18568789679027	9.05805431228278e-21	2.03490243387562e-19	48.05	51.38	65.68	243.93	320.68	212.16
chr2R	12979300	12983857	4558	*	9.16783395343145	8.21997116052135	9.7349901027831	-1.50631353367719	2.89339475473809e-20	6.35231666608408e-19	291.12	237.72	365.65	886.03	858.17	812.3
chr3L	20620489	20622629	2141	*	7.71447552353043	6.63421352862535	8.32522950513353	-1.69875500768543	3.38296503008967e-20	7.26209826459248e-19	120.12	87.69	90.19	336.79	283.04	342.37
chr3L	2163388	2164435	1048	*	6.87830393520779	5.62184250950591	7.5395342274496	-1.89273830177016	4.14299257700563e-20	8.70028441171183e-19	46.64	45.22	55.88	199.87	179.16	179.12
