chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16330000	16335000	chr2L	16330000	16335000	21.507568359375
chr2L	16335000	16340000	chr2L	16330000	16335000	16.4843196868896
chr2L	16340000	16345000	chr2L	16330000	16335000	32.067985534668
chr2L	16345000	16350000	chr2L	16330000	16335000	33.1556587219238
chr2L	16350000	16355000	chr2L	16330000	16335000	10.71555519104
chr2L	16355000	16360000	chr2L	16330000	16335000	-4.78727245330811
chr2L	16360000	16365000	chr2L	16330000	16335000	-14.4055557250977
chr2L	16365000	16370000	chr2L	16330000	16335000	-12.4937496185303
chr2L	16370000	16375000	chr2L	16330000	16335000	-21.5328578948975
chr2L	16375000	16380000	chr2L	16330000	16335000	-22.7096157073975
chr2L	16380000	16385000	chr2L	16330000	16335000	-31.1135597229004
chr2L	16385000	16390000	chr2L	16330000	16335000	-33.0435905456543
chr2L	16390000	16395000	chr2L	16330000	16335000	-28.4970588684082
chr2L	16395000	16400000	chr2L	16330000	16335000	-33.0800018310547
chr2L	16400000	16405000	chr2L	16330000	16335000	-29.2135601043701
chr2L	16405000	16410000	chr2L	16330000	16335000	-24.3435897827148
chr2L	16410000	16415000	chr2L	16330000	16335000	-32.961109161377
chr2L	16415000	16420000	chr2L	16330000	16335000	-41.406665802002
chr2L	16420000	16425000	chr2L	16330000	16335000	-45
chr2L	16425000	16430000	chr2L	16330000	16335000	-36.3695640563965
chr2L	16430000	16435000	chr2L	16330000	16335000	-24.7882347106934
chr2L	16435000	16440000	chr2L	16330000	16335000	-26.3150005340576
chr2L	16440000	16445000	chr2L	16330000	16335000	-25.8457145690918
chr2L	16445000	16450000	chr2L	16330000	16335000	-14.5638294219971
chr2L	16450000	16455000	chr2L	16330000	16335000	-9.12826061248779
chr2L	16455000	16460000	chr2L	16330000	16335000	-12.3500003814697
chr2L	16460000	16465000	chr2L	16330000	16335000	-0.107692323625088
chr2L	16465000	16470000	chr2L	16330000	16335000	6.90555572509766
chr2L	16470000	16475000	chr2L	16330000	16335000	-2.34146356582642
chr2L	16475000	16480000	chr2L	16330000	16335000	11.7368421554565
chr2L	16480000	16485000	chr2L	16330000	16335000	18.5956516265869
chr2L	16485000	16490000	chr2L	16330000	16335000	30.7611122131348
chr2L	16490000	16495000	chr2L	16330000	16335000	31.7272720336914
chr2L	16495000	16500000	chr2L	16330000	16335000	30.3652172088623
chr2L	16500000	16505000	chr2L	16330000	16335000	11.3285713195801
chr2L	16505000	16510000	chr2L	16330000	16335000	-8.8652172088623
chr2L	16510000	16515000	chr2L	16330000	16335000	-15.3312501907349
chr2L	16515000	16520000	chr2L	16330000	16335000	-34.2333335876465
chr2L	16520000	16525000	chr2L	16330000	16335000	-33.1545448303223
chr2L	16525000	16530000	chr2L	16330000	16335000	-28.5588226318359
chr2L	16530000	16535000	chr2L	16330000	16335000	-24.033332824707
chr2L	16535000	16540000	chr2L	16330000	16335000	-22.6428565979004
chr2L	16540000	16545000	chr2L	16330000	16335000	-25.0666675567627
chr2L	16545000	16550000	chr2L	16330000	16335000	-28.7666664123535
chr2L	16550000	16555000	chr2L	16330000	16335000	-34.125
chr2L	16555000	16560000	chr2L	16330000	16335000	-36.466667175293
chr2L	16560000	16565000	chr2L	16330000	16335000	-33.9500007629395
chr2L	16565000	16570000	chr2L	16330000	16335000	-39.8428573608398
chr2L	16570000	16575000	chr2L	16330000	16335000	-41.2636375427246
chr2L	16575000	16580000	chr2L	16330000	16335000	-40.2999992370605
chr2L	16580000	16585000	chr2L	16330000	16335000	-38.2999992370605
chr2L	16585000	16590000	chr2L	16330000	16335000	-38.966667175293
chr2L	16590000	16595000	chr2L	16330000	16335000	-38.4500007629395
chr2L	16595000	16600000	chr2L	16330000	16335000	-37.7666664123535
chr2L	16600000	16605000	chr2L	16330000	16335000	-37.7333335876465
chr2L	16605000	16610000	chr2L	16330000	16335000	-36.728572845459
chr2L	16610000	16615000	chr2L	16330000	16335000	-33.3400001525879
chr2L	16615000	16620000	chr2L	16330000	16335000	-30.7000007629395
chr2L	16330000	16335000	chr2L	16335000	16340000	16.4843196868896
chr2L	16335000	16340000	chr2L	16335000	16340000	15.5995578765869
chr2L	16340000	16345000	chr2L	16335000	16340000	15.8198738098145
chr2L	16345000	16350000	chr2L	16335000	16340000	33.1689262390137
chr2L	16350000	16355000	chr2L	16335000	16340000	-11.4111108779907
chr2L	16355000	16360000	chr2L	16335000	16340000	-17.8718128204346
chr2L	16360000	16365000	chr2L	16335000	16340000	-22.5047626495361
chr2L	16365000	16370000	chr2L	16335000	16340000	-20.9146060943604
chr2L	16370000	16375000	chr2L	16335000	16340000	-15.1183671951294
chr2L	16375000	16380000	chr2L	16335000	16340000	-15.3240966796875
chr2L	16380000	16385000	chr2L	16335000	16340000	-21.0794124603271
