seqnames	start	end	width	strand	Conc	Conc_WD_SUMOnub	Conc_WD_NOnub	Fold	p.value	FDR	WD_SUMOnub1	WD_SUMOnub2	WD_NOnub1	WD_NOnub2
chr2R	6499772	6623792	124021	*	6.84373856458832	7.83083246161262	1.03272120270543	6.40716726786484	9.79547400570208e-11	4.96797852145212e-08	233.96	221.39	0	4.09
chrX	354509	363245	8737	*	6.85948181935034	0	7.85948181935034	-9.99406430726578	1.59999308259327e-10	4.96797852145212e-08	0	0	306.54	157.94
chr3R	26027735	26065011	37277	*	6.53853309588332	0	7.53853309588332	-9.65475626623515	2.34173100273528e-09	4.84738317566203e-07	0	0	281.82	90.02
chr3L	359383	367681	8299	*	6.40724649144767	7.40724649144767	0	9.23159510108508	7.14633699885934e-09	1.10946881907291e-06	158.36	181.14	0	0
chr3R	13393197	13397197	4001	*	6.36551116273816	7.36551116273816	0	9.18758561678614	9.72654436610727e-09	1.20803681027052e-06	183.9	145.92	0	0
chr2R	7145692	7225378	79687	*	6.70946233078677	0	7.70946233078677	-16.8521043702422	1.58746365872496e-06	0.000142647934930666	0	0	418.61	0
chr3R	24580864	24637165	56302	*	6.69805756751452	0	7.69805756751452	-16.8420798238139	1.60794773673858e-06	0.000142647934930666	0	0	415.31	0
chr2L	14261027	14368840	107814	*	6.23435506387508	0	7.23435506387508	-16.4750829141109	2.54560392183052e-06	0.000197602504432094	0	0	0	301.15
chr2L	10660081	10673487	13407	*	5.50728381729576	0	6.50728381729576	-8.50903693897766	4.37472001970773e-06	0.000275326968573116	0	0	156.57	25.37
chr3R	6757466	6768709	11244	*	5.4831774443057	6.4831774443057	0	8.21838242752034	4.43360657927722e-06	0.000275326968573116	109.32	69.6	0	0
chr3L	20925826	20931190	5365	*	5.33274353575679	0	6.33274353575679	-8.33175669728504	6.96778693169881e-06	0.000393363244053178	0	0	117.01	44.19
chr2R	5249022	5297965	48944	*	5.37918792344576	6.37918792344576	0	8.08632780211249	8.37173432876852e-06	0.000433237251513771	96.03	70.44	0	0
chr2L	10030690	10040954	10265	*	5.23892179565817	0	6.23892179565817	-8.23184288482376	9.48967763562171e-06	0.000453314600901622	0	0	69.22	81.84
chr2L	12006153	12011832	5680	*	6.35570125096746	0	7.35570125096746	-8.9164691499131	3.48636172203166e-05	0.00154645044955833	0	0	271.93	55.65
chr3R	31541032	31568165	27134	*	6.08117818128115	0	7.08117818128115	-8.31985899989216	0.000113673090096617	0.00470606592999994	0	0	229.08	41.74
chr3L	20428	28308	7881	*	5.92757998453462	6.83193868499	2.96503467862386	3.50723485907591	0.000146991489625528	0.00570510719109079	106.25	121.6	9.89	5.73
chr2R	23201973	23205973	4001	*	4.83792802575641	0	5.83792802575641	-7.24565322391195	0.000164535224322894	0.00601037495908926	0	0	93.94	20.46
chr2R	13045256	13051656	6401	*	4.83627239128129	5.83627239128129	0	6.90069900929886	0.000200981329884061	0.00693385588100009	48.02	66.25	0	0
chr3L	747400	757489	10090	*	4.68488934849775	0	5.68488934849775	-6.63877754962732	0.000356844573210525	0.0115410956171417	0	0	85.7	17.19
chr2L	1649258	1713465	64208	*	10.4389262818189	11.0842964871196	9.24086099820576	1.29867577034581	0.000371693900713097	0.0115410956171417	2537.77	1804.69	789.43	420.63
chr2L	5340234	5367760	27527	*	4.71565534847524	5.71565534847524	0	6.31443202221897	0.000415866661182679	0.0122977712664021	29.63	75.47	0	0
chr2R	11663768	11699785	36018	*	4.59663740345165	5.59663740345165	0	5.74978762136045	0.00069240473284308	0.019544697231616	67.43	29.35	0	0
chrX	8035517	8039517	4001	*	4.39182196134964	5.39182196134964	0	4.68280851098473	0.00150350367165477	0.0405945991346787	52.1	31.87	0	0
chr2R	11253167	11261976	8810	*	4.37260102081595	5.37260102081595	0	3.6859707876508	0.00300715914638384	0.0778102429126818	78.67	4.19	0	0
chr3R	14653716	14665197	11482	*	4.17241053280693	5.17241053280693	0	3.28920014980176	0.00373908613354691	0.0928788995573052	56.19	15.93	0	0
chr3R	8226008	8245792	19785	*	8.30938317335441	8.87447049357314	7.36741684385296	0.330172650245072	0.00406571675015424	0.0971080808402225	521.04	417.63	184.58	145.67
chr3R	18383828	18391805	7978	*	6.92421001970436	7.64461737726174	5.41930261795758	0.575297395322231	0.00496774427649252	0.114258118359328	169.59	230.62	69.22	16.37
chr4	842529	846529	4001	*	9.59174519021446	10.1161009096273	8.75963969894533	0.209887218121248	0.00628796082243943	0.139457988240532	1286.25	933.37	505.96	360.89
chrX	1320362	1331438	11077	*	4.09569719007321	0	5.09569719007321	-2.5605155656396	0.00676568520325089	0.144878983145476	0	0	67.57	0.82
chr3L	7934120	7939258	5139	*	4.68954625353618	5.64272375618214	0.720777644014601	1.33267098540557	0.0100021713433878	0.207044946808127	75.6	24.32	3.3	0
chr2R	9492166	9543565	51400	*	8.22480704826274	7.32339948289105	8.77534906421057	-0.147526482232877	0.0130003215950799	0.260425797114342	121.58	198.75	576.82	299.52
chr3L	620316	624316	4001	*	3.6425156007106	0	4.6425156007106	-1.62777696103398	0.0139368315806053	0.263463619780092	0	0	4.94	45.01
chr2R	14636538	14641762	5225	*	3.7885650622619	4.7885650622619	0	1.58248814410987	0.0140004822105363	0.263463619780092	51.08	4.19	0	0
chr2R	19824578	19834973	10396	*	6.28371488611454	1.83825106858184	7.25022157510506	-1.12607069123745	0.0152625408109021	0.278765818928536	7.15	0	245.56	58.92
chr3R	6025238	6029238	4001	*	3.52635467362485	0	4.52635467362485	-1.43168325701445	0.0168182084910301	0.298403070655134	0	0	37.91	8.18
chr2L	5240699	5246239	5541	*	5.08679830961151	0	6.08679830961151	-1.6218247688304	0.0179633341223949	0.309867513611313	0	0	131.85	4.09
chr3R	17200130	17204130	4001	*	6.23115053461215	6.89485646518047	4.96529716559939	0.158722819059648	0.0261151946238849	0.438311780038717	134.86	103.15	41.2	21.28
chr2L	17258734	17262734	4001	*	8.06051099440496	8.54116366144303	7.33462404948244	0.0679024957802152	0.0275004436769118	0.449415145351637	437.26	307.77	176.34	146.48
