seqnames	start	end	width	strand	Conc	Conc_WD_SUMOnub	Conc_WD_NOnub	Fold	p.value	FDR	WD_SUMOnub1	WD_SUMOnub2	WD_NOnub1	WD_NOnub2
chrX	71758	72914	1157	*	7.22059097001093	8.04989941176413	5.0567838042129	2.86557542688038	1.10766738418956e-22	8.41494911768808e-19	288.86	241.15	40.48	26.09
chr2L	5207079	5209735	2657	*	7.61810472188343	8.61010030099339	1.12035073357983	7.64630716332335	6.09979428680643e-20	2.31700685984342e-16	360.1	421.4	0	4.35
chr2L	7898486	7900589	2104	*	7.75608509438888	6.50349229083443	8.41628971021255	-1.83193868017178	1.1839377603154e-16	2.99812505503869e-13	100.52	80.94	333.97	349.29
chr2R	21664175	21665408	1234	*	7.39859768943293	5.91846991042677	8.11365017639643	-2.06353140719395	3.53377616261625e-15	6.71152437684891e-12	45.87	75.1	243.81	310.16
chr2R	22641201	22646350	5150	*	10.1189492280547	9.37484929781086	10.6074228606895	-1.12200127740558	1.61404230014089e-14	2.45237587083407e-11	663.61	664.22	1418.68	1701.52
chr2R	5108063	5109793	1731	*	7.56207852360604	8.56207852360604	0	10.0506817088764	1.3201008181912e-13	1.67146765263309e-10	362.06	393.86	0	0
chr2L	22577467	22578660	1194	*	7.85036929377751	6.83335836414456	8.44095782176314	-1.49431292658355	1.67073103919968e-12	1.81322052925714e-09	111.25	116.82	310.97	384.07
chr2L	8074544	8075075	532	*	5.82655642051446	3.72585333955311	6.64774039475595	-2.74579128559435	5.58661501007112e-12	5.30518927893878e-09	15.61	10.85	104.88	95.66
chr3R	29615966	29617127	1162	*	7.26978790170814	6.13557654303467	7.89684940901757	-1.62882299649374	1.22901610712736e-11	1.03742615176073e-08	60.51	80.11	224.49	252.18
chr3L	9301618	9302391	774	*	6.82290006050615	5.40290677464354	7.52448100819593	-1.91963354865002	3.13567039182023e-10	2.38216879666583e-07	25.37	59.25	171.13	197.11
chr2R	25285480	25286145	666	*	5.99572936428603	6.99572936428603	0	8.57603988169726	4.02912661827409e-10	2.78266135627529e-07	131.75	123.5	0	0
chr2R	25253402	25253911	510	*	5.65830812605345	0	6.65830812605345	-8.58265574215887	4.81338880971885e-10	3.04727623228618e-07	0	0	94.76	107.25
chr2R	5301287	5301701	415	*	5.59357653379973	3.5730743341707	6.40383670129223	-2.56759569645732	7.79203426213511e-10	4.55354494534157e-07	8.78	15.02	91.08	78.26
chr2L	21751920	21752911	992	*	6.68108599623062	5.45709925928378	7.33359720055336	-1.68686663687156	1.08830755999083e-09	5.90562323803595e-07	41.96	45.89	137.08	185.51
chrX	20427642	20428317	676	*	6.08106967849241	6.8281606790914	4.44438593501602	2.10468410697061	1.6055824396751e-09	7.22755635201317e-07	117.11	110.15	27.6	15.94
chr2L	22573995	22574449	455	*	5.02244956864055	1.85625842979737	5.93976746823699	-3.91349752522874	1.61260133202659e-09	7.22755635201317e-07	3.9	3.34	66.24	56.52
chr2L	3106603	3108418	1816	*	7.49394592592893	8.04333933621133	6.59567602220014	1.24878689995944	1.61732865584078e-09	7.22755635201317e-07	272.27	255.34	102.12	91.31
chrX	23354328	23354852	525	*	5.61104094101737	6.61104094101737	0	8.20973968158415	2.57395529479732e-09	1.08635213192085e-06	99.54	95.96	0	0
chr2R	19726471	19727015	545	*	5.95978830164468	6.70439081604127	4.33602277592367	2.09861183546179	3.45042111844892e-09	1.37962364404508e-06	97.59	110.98	23	17.39
chr3L	23246974	23249468	2495	*	8.93933216071948	8.2195031564643	9.41735196175373	-0.987042300266672	3.64647823577872e-09	1.38511475786055e-06	313.26	282.88	580.54	786.99
chrX	23376191	23376513	323	*	5.46162064652492	6.46162064652492	0	8.0665010831564	5.34258715259858e-09	1.92355104861347e-06	81.97	94.29	0	0
chrX	23375013	23375507	495	*	5.45965328134199	6.45965328134199	0	8.06118425976477	5.57037291950722e-09	1.92355104861347e-06	97.59	78.44	0	0
chr2R	5106606	5107042	437	*	5.2746374200974	6.2746374200974	0	7.88311665469436	1.31567663593031e-08	4.34573713180982e-06	78.07	76.77	0	0
chrX	7691072	7691672	601	*	6.11338829386564	4.73277254593377	6.80576652857665	-1.78814327024615	3.21759893534193e-08	1.01850412965803e-05	21.47	31.71	94.76	128.99
chr2L	23172754	23174592	1839	*	9.25814791486671	8.63548979376836	9.69167019430378	-0.842948523573253	3.73592382062172e-08	1.09243271719931e-05	404.02	391.36	707.5	946.41
chr3R	15130908	15131296	389	*	6.18446180478655	4.81698075345727	6.87370070511994	-1.76724020019429	3.73874564264606e-08	1.09243271719931e-05	20.49	35.88	101.2	133.34
chr3R	22494267	22494889	623	*	5.02289105934616	6.02289105934616	0	7.63028423680415	4.5614633887265e-08	1.28346064311686e-05	62.46	67.59	0	0
chr4	627775	628018	244	*	4.75314709523071	1.06081830027255	5.69623817953162	-4.30280010543558	6.13210650859832e-08	1.62926340602404e-05	0	4.17	51.52	52.18
chr3R	24768272	24768543	272	*	5.00564418236863	5.89036862431988	2.3027823505549	3.23523782978698	6.21938117344969e-08	1.62926340602404e-05	58.55	60.08	5.52	4.35
chrX	23372037	23372380	344	*	4.86293369034242	5.86293369034242	0	7.46115584751723	1.02152218387046e-07	2.51474491692872e-05	54.65	61.75	0	0
chr3L	14974380	14976317	1938	*	7.77322801414979	7.07746676258589	8.24062909909903	-0.908678403265987	1.02615627780427e-07	2.51474491692872e-05	130.77	139.35	306.37	298.56
chr2L	11526238	11527314	1077	*	6.33383854507213	6.97178855987331	5.1620917360359	1.5550338973862	1.18695267229379e-07	2.81789982856746e-05	120.03	131.01	26.68	44.93
chr2R	5606810	5607395	586	*	5.35578838795997	6.16246026000868	3.36056070440016	2.52574143958704	1.24170069837236e-07	2.85854551682873e-05	61.48	81.78	4.6	15.94
chr3L	21828699	21829876	1178	*	7.22466731445986	6.40339185003917	7.74477131135758	-1.05099688207745	1.3934478204566e-07	3.11353620353199e-05	74.17	95.13	221.73	207.25
chr3L	23278257	23278909	653	*	6.04534316935484	4.72546543574716	6.72290202851476	-1.66687606972305	1.54119359122732e-07	3.34527077501541e-05	25.37	27.54	83.72	127.54
